TrainNumber,RailwayOperator,OriginStation,DestinationStation,DepartureTime,ArrivalTime,Duration,Status,TicketPrice,TrainType,PlatformNumber,Terminal,SeatCapacity,PassengerCount,WeatherCondition,CrewCount
TR0022,Via Rail,Toronto Union,Vancouver Pacific,2023-06-27 15:19:00,2023-06-27 18:19:00,3:00:00,Delayed,402.15,Metro,P11,A,271,30,Snow,15
TR0023,Deutsche Bahn,Cologne Hbf,Frankfurt Hbf,2023-08-05 06:35:00,2023-08-05 12:35:00,6:00:00,Cancelled,31.29,High-Speed,P6,E,308,371,Fog,16
TR0024,Deutsche Bahn,Munich Hbf,Berlin Hbf,2023-06-08 22:58:00,2023-06-09 09:58:00,11:00:00,On Time,394.99,Passenger,P8,D,172,440,Fog,7
TR0025,Amtrak,New York Penn,Los Angeles Union,2023-04-28 17:11:00,2023-04-29 02:11:00,9:00:00,On Time,489.9,Passenger,P8,A,477,427,Fog,13
TR0026,JR East,Hiroshima Station,Nagoya Station,2023-09-14 14:59:00,2023-09-14 20:59:00,6:00:00,On Time,285.59,Metro,P2,D,265,336,Clear,19
TR0027,Indian Railways,Chennai Central,Howrah,2023-01-03 18:13:00,2023-01-03 22:13:00,4:00:00,Cancelled,257.64,Intercity,P7,B,89,217,Rain,18
TR0028,Indian Railways,Chennai Central,Mumbai CST,2023-05-25 23:42:00,2023-05-26 02:42:00,3:00:00,Delayed,191.73,High-Speed,P4,A,400,498,Rain,13
TR0029,Amtrak,Boston South,Los Angeles Union,2023-10-26 12:57:00,2023-10-26 22:57:00,10:00:00,Delayed,355.9,Metro,P10,C,179,317,Snow,6
TR0030,Deutsche Bahn,Berlin Hbf,Munich Hbf,2023-12-02 12:24:00,2023-12-02 13:24:00,1:00:00,Cancelled,371.89,Passenger,P3,A,128,286,Clear,8
TR0031,JR Central,Tokyo Station,Hiroshima Station,2023-01-09 19:40:00,2023-01-10 07:40:00,12:00:00,Cancelled,237.73,Metro,P4,E,428,521,Fog,13
TR0032,Amtrak,Boston South,San Francisco 4th,2023-11-02 17:41:00,2023-11-02 21:41:00,4:00:00,Delayed,210.51,High-Speed,P14,E,317,203,Rain,20
TR0033,JR Central,Kyoto Station,Hiroshima Station,2023-02-01 07:38:00,2023-02-01 17:38:00,10:00:00,Delayed,35.84,Intercity,P13,E,161,27,Snow,17
TR0034,JR East,Osaka Station,Nagoya Station,2023-11-28 09:28:00,2023-11-28 14:28:00,5:00:00,Cancelled,150.28,Freight,P18,E,436,58,Storm,6
TR0035,Amtrak,San Francisco 4th,Boston South,2023-08-07 22:22:00,2023-08-08 07:22:00,9:00:00,On Time,105.73,Intercity,P7,B,348,242,Clear,17
TR0036,JR East,Hiroshima Station,Nagoya Station,2023-08-08 18:07:00,2023-08-08 22:07:00,4:00:00,On Time,477.09,Passenger,P12,C,297,195,Rain,7
TR0037,Deutsche Bahn,Cologne Hbf,Frankfurt Hbf,2023-02-15 20:01:00,2023-02-15 22:01:00,2:00:00,Delayed,152.84,Metro,P10,D,155,507,Snow,8
TR0038,JR East,Tokyo Station,Osaka Station,2023-01-25 06:10:00,2023-01-25 12:10:00,6:00:00,On Time,148.66,Metro,P1,B,379,531,Storm,2
TR0039,Deutsche Bahn,Hamburg Hbf,Berlin Hbf,2023-09-20 06:28:00,2023-09-20 18:28:00,12:00:00,On Time,62.21,Passenger,P20,B,350,54,Clear,7
TR0040,Deutsche Bahn,Berlin Hbf,Munich Hbf,2023-04-06 11:08:00,2023-04-06 14:08:00,3:00:00,Cancelled,434.73,Intercity,P2,A,485,362,Storm,17
TR0041,Via Rail,Toronto Union,Vancouver Pacific,2023-12-12 20:10:00,2023-12-12 22:10:00,2:00:00,On Time,448.98,High-Speed,P10,D,108,377,Clear,7
TR0042,Deutsche Bahn,Cologne Hbf,Frankfurt Hbf,2023-10-16 19:47:00,2023-10-16 23:47:00,4:00:00,Delayed,17.27,Intercity,P6,A,445,207,Snow,13
TR0043,Indian Railways,Bangalore City,Howrah,2023-05-20 10:47:00,2023-05-20 21:47:00,11:00:00,Cancelled,110.02,Freight,P7,A,433,80,Storm,18
TR0044,JR Central,Hiroshima Station,Nagoya Station,2023-02-14 13:05:00,2023-02-14 14:05:00,1:00:00,Delayed,317.47,Metro,P8,D,53,321,Rain,16
TR0045,Amtrak,Los Angeles Union,New York Penn,2023-01-12 14:33:00,2023-01-12 21:33:00,7:00:00,Cancelled,412.34,Passenger,P1,B,218,444,Rain,3
TR0046,Deutsche Bahn,Cologne Hbf,Frankfurt Hbf,2023-01-31 16:59:00,2023-02-01 00:59:00,8:00:00,On Time,242.21,Passenger,P14,A,77,133,Storm,18
TR0047,Deutsche Bahn,Frankfurt Hbf,Berlin Hbf,2023-08-05 20:34:00,2023-08-05 23:34:00,3:00:00,Cancelled,78.75,Freight,P16,B,99,115,Storm,19
TR0048,JR Central,Kyoto Station,Hiroshima Station,2023-10-07 13:04:00,2023-10-07 14:04:00,1:00:00,Cancelled,366.13,Passenger,P3,C,312,385,Storm,20
TR0049,Via Rail,Calgary Station,Montreal Central,2023-06-17 08:13:00,2023-06-17 16:13:00,8:00:00,Delayed,488.08,Metro,P8,C,420,219,Rain,18
TR0050,Indian Railways,Mumbai CST,Howrah,2023-11-27 15:20:00,2023-11-28 03:20:00,12:00:00,Cancelled,101.59,Passenger,P14,E,65,493,Snow,6
TR0051,Via Rail,Calgary Station,Toronto Union,2023-10-27 16:57:00,2023-10-28 02:57:00,10:00:00,Cancelled,84.19,Intercity,P14,E,292,362,Rain,18
TR0052,Via Rail,Calgary Station,Vancouver Pacific,2023-11-29 09:48:00,2023-11-29 19:48:00,10:00:00,Cancelled,173.04,High-Speed,P13,E,472,522,Fog,10
TR0053,Indian Railways,Bangalore City,Mumbai CST,2023-06-20 07:32:00,2023-06-20 12:32:00,5:00:00,Cancelled,42.78,High-Speed,P16,C,76,315,Clear,7
TR0054,Amtrak,New York Penn,Chicago Union,2023-04-08 21:48:00,2023-04-09 02:48:00,5:00:00,Delayed,129.98,Passenger,P3,C,165,39,Rain,7
TR0055,Deutsche Bahn,Hamburg Hbf,Berlin Hbf,2023-08-22 19:48:00,2023-08-23 06:48:00,11:00:00,Delayed,178.92,Passenger,P6,E,200,283,Clear,19
TR0056,JR East,Osaka Station,Nagoya Station,2023-10-22 18:04:00,2023-10-23 05:04:00,11:00:00,On Time,118.79,Intercity,P14,C,355,368,Clear,17
TR0057,Amtrak,Chicago Union,Boston South,2023-08-17 18:40:00,2023-08-17 20:40:00,2:00:00,Cancelled,245.67,Freight,P3,A,497,162,Fog,13
TR0058,Amtrak,San Francisco 4th,Los Angeles Union,2023-01-06 10:49:00,2023-01-06 11:49:00,1:00:00,On Time,219.83,Intercity,P16,D,303,408,Clear,6
TR0059,Amtrak,Los Angeles Union,Chicago Union,2023-01-30 03:59:00,2023-01-30 14:59:00,11:00:00,Cancelled,351.55,Passenger,P19,C,468,33,Clear,18
TR0060,Indian Railways,Mumbai CST,Chennai Central,2023-10-01 21:22:00,2023-10-02 00:22:00,3:00:00,Cancelled,117.93,Metro,P10,A,187,495,Rain,6
TR0061,Indian Railways,Bangalore City,Delhi Junction,2023-02-12 05:10:00,2023-02-12 17:10:00,12:00:00,Delayed,205.63,Freight,P11,E,450,532,Rain,17
TR0062,Amtrak,Los Angeles Union,San Francisco 4th,2023-04-30 07:15:00,2023-04-30 17:15:00,10:00:00,Delayed,82.37,Passenger,P5,C,209,519,Clear,8
TR0063,Via Rail,Ottawa Station,Toronto Union,2023-12-25 10:27:00,2023-12-25 13:27:00,3:00:00,Delayed,480.39,Intercity,P15,D,381,105,Fog,8
TR0064,Indian Railways,Howrah,Mumbai CST,2023-06-03 00:25:00,,10:00:00,On Time,405.07,High-Speed,P15,A,369,144,Storm,16
TR0065,Deutsche Bahn,Cologne Hbf,Berlin Hbf,2023-06-08 20:05:00,2023-06-09 04:05:00,8:00:00,Delayed,216.33,High-Speed,P11,E,240,113,Snow,9
TR0066,Deutsche Bahn,Frankfurt Hbf,Munich Hbf,2023-02-01 23:33:00,2023-02-02 09:33:00,10:00:00,On Time,452.58,Freight,P8,C,263,481,Rain,20
TR0067,Amtrak,Boston South,New York Penn,2023-07-03 19:01:00,2023-07-04 00:01:00,5:00:00,On Time,212.04,Metro,P10,D,380,537,Storm,4
TR0068,Amtrak,Los Angeles Union,San Francisco 4th,2023-03-13 18:25:00,2023-03-13 20:25:00,2:00:00,Cancelled,18.34,Intercity,P2,D,109,25,Storm,5
TR0069,Deutsche Bahn,Berlin Hbf,Hamburg Hbf,invalid_date,2023-09-18 03:13:00,1:00:00,Delayed,309.77,High-Speed,P5,A,75,101,Fog,9
TR0070,Deutsche Bahn,Berlin Hbf,Hamburg Hbf,2023-12-23 15:00:00,2023-12-24 01:00:00,10:00:00,Delayed,76.01,Metro,P10,D,350,412,Rain,11
TR0071,Deutsche Bahn,Hamburg Hbf,Frankfurt Hbf,2023-10-11 12:35:00,2023-10-11 15:35:00,3:00:00,Cancelled,495.23,Freight,P12,E,179,319,Fog,15
TR0072,Via Rail,Ottawa Station,Vancouver Pacific,2023-12-07 16:41:00,2023-12-07 17:41:00,1:00:00,Cancelled,262.61,Metro,P10,B,201,51,Rain,17
TR0073,Amtrak,Boston South,San Francisco 4th,2023-01-15 15:06:00,2023-01-16 02:06:00,11:00:00,Delayed,375.35,Metro,P18,C,449,332,Snow,6
TR0074,JR East,Hiroshima Station,Tokyo Station,2023-01-03 20:59:00,2023-01-04 01:59:00,5:00:00,On Time,296.87,Metro,P17,D,106,247,Storm,16
TR0075,Amtrak,New York Penn,Los Angeles Union,2023-09-27 08:41:00,2023-09-27 11:41:00,3:00:00,Delayed,252.92,Freight,P10,C,231,33,Storm,3
TR0076,Via Rail,Calgary Station,Vancouver Pacific,2023-01-06 00:15:00,2023-01-06 04:15:00,4:00:00,On Time,348.51,High-Speed,P18,A,446,217,Clear,13
TR0077,JR Central,Kyoto Station,Hiroshima Station,2023-10-06 19:13:00,2023-10-06 22:13:00,3:00:00,Cancelled,498.23,Passenger,P1,C,208,405,Snow,8
TR0078,JR Central,Osaka Station,Hiroshima Station,2023-07-17 11:10:00,2023-07-17 18:10:00,7:00:00,Cancelled,179.62,Freight,P5,C,478,134,Storm,4
TR0079,Indian Railways,Chennai Central,Delhi Junction,2023-08-03 12:48:00,2023-08-04 00:48:00,12:00:00,Cancelled,20.79,Passenger,P1,A,276,172,Rain,19
TR0080,Via Rail,Vancouver Pacific,Toronto Union,2023-06-30 08:15:00,2023-06-30 13:15:00,5:00:00,On Time,316.94,Intercity,P16,A,157,5,Clear,19
TR0081,Via Rail,Ottawa Station,Toronto Union,2023-04-05 21:59:00,2023-04-06 08:59:00,11:00:00,Cancelled,266.16,Intercity,P15,E,182,511,Clear,14
TR0082,Via Rail,Calgary Station,Toronto Union,2023-01-05 17:53:00,2023-01-05 20:53:00,3:00:00,Cancelled,187.03,Intercity,P9,A,180,478,Storm,13
TR0083,Via Rail,Montreal Central,Ottawa Station,2023-09-13 17:05:00,2023-09-14 02:05:00,9:00:00,Delayed,265.34,Intercity,P10,E,53,540,Clear,18
TR0084,Amtrak,San Francisco 4th,Boston South,2023-12-16 22:57:00,2023-12-17 06:57:00,8:00:00,Delayed,192.07,High-Speed,P4,B,327,33,Rain,15
TR0085,Deutsche Bahn,Berlin Hbf,Hamburg Hbf,2023-06-21 17:09:00,2023-06-21 21:09:00,4:00:00,On Time,452.02,Metro,P6,A,100,512,Rain,2
TR0086,Deutsche Bahn,Berlin Hbf,Frankfurt Hbf,2023-03-09 10:14:00,2023-03-09 11:14:00,1:00:00,Cancelled,493.69,Freight,P8,A,97,61,Fog,3
TR0087,JR East,Nagoya Station,Hiroshima Station,2023-09-13 16:21:00,2023-09-14 02:21:00,10:00:00,Cancelled,459.95,Intercity,P6,C,468,2,Storm,10
TR0088,JR East,Kyoto Station,Hiroshima Station,2023-06-01 13:00:00,2023-06-01 16:00:00,3:00:00,Cancelled,341.88,Freight,P14,B,463,420,Storm,12
TR0089,Amtrak,Chicago Union,Boston South,2023-03-22 04:31:00,2023-03-22 16:31:00,12:00:00,On Time,46.56,Freight,P19,A,352,461,Fog,17
TR0090,JR Central,Osaka Station,Kyoto Station,2023-08-09 06:33:00,2023-08-09 17:33:00,11:00:00,On Time,265.12,Passenger,P11,A,415,493,Snow,7
TR0091,JR East,Nagoya Station,Osaka Station,2023-06-04 03:53:00,2023-06-04 08:53:00,5:00:00,Cancelled,264.48,High-Speed,P20,B,333,422,Fog,15
TR0092,Via Rail,Ottawa Station,Vancouver Pacific,2023-10-15 05:17:00,2023-10-15 15:17:00,10:00:00,Cancelled,454.59,High-Speed,P13,C,219,448,Rain,15
TR0093,JR Central,Kyoto Station,Nagoya Station,2023-07-19 19:52:00,2023-07-19 21:52:00,2:00:00,On Time,13.62,Metro,P2,B,197,17,Snow,2
TR0094,Via Rail,Vancouver Pacific,Montreal Central,2023-01-27 03:43:00,2023-01-27 12:43:00,9:00:00,Cancelled,212.61,High-Speed,P12,A,184,441,Clear,4
TR0095,Amtrak,Los Angeles Union,New York Penn,2023-06-22 09:13:00,2023-06-22 16:13:00,7:00:00,Delayed,242.59,Passenger,P17,B,398,289,Fog,13
TR0096,Indian Railways,Delhi Junction,Mumbai CST,2023-10-06 18:43:00,2023-10-06 19:43:00,1:00:00,Delayed,358.46,Intercity,P19,A,205,543,Fog,20
TR0097,Via Rail,Calgary Station,Vancouver Pacific,2023-02-02 22:48:00,2023-02-03 07:48:00,9:00:00,Cancelled,194.69,High-Speed,P4,A,369,181,Storm,19
TR0098,Via Rail,Toronto Union,Vancouver Pacific,2023-10-02 17:32:00,2023-10-02 21:32:00,4:00:00,Cancelled,345.79,Intercity,P9,B,181,96,Storm,19
TR0099,JR Central,Osaka Station,Kyoto Station,2023-11-08 03:46:00,2023-11-08 05:46:00,2:00:00,On Time,288.03,Freight,P18,D,256,221,Storm,6
TR0100,Amtrak,Boston South,Los Angeles Union,2023-07-25 06:55:00,2023-07-25 11:55:00,5:00:00,Delayed,135.42,Intercity,P3,D,392,321,Clear,11
TR0101,Via Rail,Calgary Station,Vancouver Pacific,2023-10-15 01:56:00,2023-10-15 05:56:00,4:00:00,On Time,401.74,Intercity,P18,B,275,405,Rain,9
TR0102,JR East,Kyoto Station,Tokyo Station,2023-09-25 09:44:00,2023-09-25 13:44:00,4:00:00,On Time,356.98,Metro,P6,D,274,315,Clear,4
TR0103,Indian Railways,Chennai Central,Bangalore City,2023-05-17 07:55:00,2023-05-17 08:55:00,1:00:00,Delayed,337.59,Metro,P16,D,178,251,Snow,11
TR0104,JR Central,Tokyo Station,Osaka Station,2023-03-03 07:12:00,2023-03-03 19:12:00,12:00:00,Cancelled,224.9,Intercity,P17,C,244,295,Snow,10
TR0105,Deutsche Bahn,Berlin Hbf,Hamburg Hbf,2023-09-29 13:12:00,2023-09-29 14:12:00,1:00:00,Cancelled,436.82,Metro,P7,B,284,206,Clear,16
TR0106,Via Rail,Calgary Station,Montreal Central,2023-12-02 05:52:00,2023-12-02 16:52:00,11:00:00,On Time,332.28,Freight,P17,D,98,478,Fog,6
TR0107,Deutsche Bahn,Frankfurt Hbf,Berlin Hbf,2023-02-02 20:28:00,2023-02-02 22:28:00,2:00:00,On Time,253.18,Intercity,P13,D,107,117,Fog,17
TR0108,Via Rail,Toronto Union,Montreal Central,2023-02-20 02:31:00,2023-02-20 08:31:00,6:00:00,On Time,218.39,Intercity,P14,B,486,356,Rain,3
TR0109,Amtrak,Los Angeles Union,San Francisco 4th,2023-10-27 19:53:00,2023-10-27 22:53:00,3:00:00,Delayed,460.29,Freight,P11,B,271,450,Rain,11
TR0110,JR Central,Osaka Station,Kyoto Station,2023-09-01 04:54:00,2023-09-01 14:54:00,10:00:00,Delayed,305.4,Intercity,P14,B,381,67,Clear,6
TR0111,Amtrak,San Francisco 4th,Boston South,2023-04-14 13:26:00,2023-04-14 20:26:00,7:00:00,Delayed,342.37,Metro,P4,E,287,342,Storm,6
TR0112,Deutsche Bahn,Cologne Hbf,Berlin Hbf,2023-09-13 23:28:00,2023-09-14 04:28:00,5:00:00,Delayed,217.66,Metro,P18,A,485,17,Fog,18
TR0113,Via Rail,Calgary Station,Ottawa Station,2023-11-22 06:15:00,2023-11-22 18:15:00,12:00:00,Delayed,282.71,Freight,P14,B,273,273,Snow,11
TR0114,Via Rail,Calgary Station,Ottawa Station,2023-05-09 23:36:00,2023-05-10 02:36:00,3:00:00,Cancelled,458.16,Metro,P14,B,362,534,Rain,7
TR0115,Indian Railways,Bangalore City,Chennai Central,2023-02-06 02:28:00,,5:00:00,On Time,355.05,Intercity,P16,A,155,67,Storm,6
TR0116,Deutsche Bahn,Hamburg Hbf,Berlin Hbf,2023-03-23 12:19:00,2023-03-23 17:19:00,5:00:00,Delayed,302.41,Freight,P12,C,111,498,Fog,8
TR0117,Deutsche Bahn,Cologne Hbf,Munich Hbf,2023-09-17 02:11:00,2023-09-17 08:11:00,6:00:00,Cancelled,409.43,Intercity,P13,B,477,28,Clear,2
TR0118,Indian Railways,Chennai Central,Mumbai CST,2023-11-07 03:03:00,2023-11-07 07:03:00,4:00:00,On Time,142.19,Freight,P3,C,383,44,Fog,10
TR0119,Indian Railways,Bangalore City,Delhi Junction,2023-02-21 16:17:00,2023-02-22 02:17:00,10:00:00,Cancelled,262.29,Metro,P17,C,215,493,Rain,4
TR0120,Indian Railways,Mumbai CST,Chennai Central,2023-07-29 11:04:00,2023-07-29 20:04:00,9:00:00,Cancelled,328.73,Intercity,P11,E,288,346,Clear,8
TR0121,Indian Railways,Bangalore City,Mumbai CST,2023-10-25 22:50:00,2023-10-26 01:50:00,3:00:00,Delayed,437.02,Metro,P20,E,408,384,Snow,2
TR0122,Amtrak,San Francisco 4th,New York Penn,2023-09-15 16:52:00,2023-09-15 17:52:00,1:00:00,On Time,211.86,Metro,P6,B,351,44,Rain,4
TR0123,Via Rail,Toronto Union,Vancouver Pacific,invalid_date,2023-04-08 15:14:00,3:00:00,Cancelled,166.77,Metro,P9,D,73,180,Storm,8
TR0124,Amtrak,Chicago Union,Boston South,2023-09-14 10:26:00,2023-09-14 11:26:00,1:00:00,On Time,351.8,Passenger,P10,D,303,170,Rain,12
TR0125,Indian Railways,Bangalore City,Mumbai CST,2023-10-13 00:54:00,2023-10-13 05:54:00,5:00:00,Delayed,315.6,Metro,P17,B,430,349,Snow,15
TR0126,Deutsche Bahn,Munich Hbf,Cologne Hbf,2023-12-02 11:42:00,2023-12-02 21:42:00,10:00:00,Delayed,285.28,Intercity,P1,C,287,86,Snow,17
TR0127,Via Rail,Montreal Central,Ottawa Station,2023-01-06 22:35:00,2023-01-07 08:35:00,10:00:00,On Time,357.87,Freight,P15,D,268,509,Fog,3
TR0128,Deutsche Bahn,Hamburg Hbf,Berlin Hbf,2023-02-12 07:05:00,2023-02-12 19:05:00,12:00:00,Cancelled,135.21,High-Speed,P19,B,60,127,Storm,17
TR0129,JR Central,Nagoya Station,Hiroshima Station,2023-11-14 14:07:00,2023-11-15 02:07:00,12:00:00,Cancelled,78.31,Passenger,P3,E,464,44,Storm,10
TR0130,Deutsche Bahn,Cologne Hbf,Munich Hbf,2023-04-02 14:28:00,2023-04-02 17:28:00,3:00:00,Cancelled,180.6,Passenger,P17,E,66,118,Snow,18
TR0131,Indian Railways,Howrah,Mumbai CST,2023-05-03 07:51:00,2023-05-03 17:51:00,10:00:00,On Time,330.53,Passenger,P5,A,132,130,Clear,19
TR0132,Via Rail,Ottawa Station,Calgary Station,2023-05-05 21:06:00,2023-05-05 22:06:00,1:00:00,Cancelled,33.38,Freight,P14,C,373,541,Rain,3
TR0133,Deutsche Bahn,Hamburg Hbf,Cologne Hbf,2023-02-27 02:04:00,2023-02-27 14:04:00,12:00:00,Delayed,326.48,Freight,P1,D,271,521,Rain,7
TR0134,Deutsche Bahn,Frankfurt Hbf,Munich Hbf,2023-07-30 13:26:00,2023-07-30 23:26:00,10:00:00,On Time,177.07,Passenger,P13,E,287,235,Storm,10
TR0135,Deutsche Bahn,Munich Hbf,Hamburg Hbf,2023-11-24 16:27:00,2023-11-25 00:27:00,8:00:00,Delayed,222.08,Passenger,P17,A,111,527,Fog,13
TR0136,Deutsche Bahn,Berlin Hbf,Frankfurt Hbf,2023-03-25 17:01:00,2023-03-26 01:01:00,8:00:00,Delayed,318.87,Intercity,P16,E,207,152,Fog,18
TR0137,JR East,Osaka Station,Hiroshima Station,2023-04-02 11:22:00,2023-04-02 19:22:00,8:00:00,Cancelled,35.33,Freight,P16,A,165,235,Storm,19
TR0138,Via Rail,Ottawa Station,Calgary Station,2023-02-11 06:53:00,2023-02-11 11:53:00,5:00:00,Cancelled,309.92,High-Speed,P20,E,432,70,Rain,14
TR0139,JR Central,Nagoya Station,Tokyo Station,2023-03-28 17:08:00,2023-03-28 23:08:00,6:00:00,On Time,429.12,Intercity,P17,D,190,0,Clear,17
TR0140,Indian Railways,Howrah,Bangalore City,2023-07-04 22:49:00,2023-07-05 00:49:00,2:00:00,On Time,427.45,Metro,P11,D,51,410,Storm,5
TR0141,Amtrak,San Francisco 4th,Boston South,2023-02-23 05:14:00,2023-02-23 15:14:00,10:00:00,On Time,134.08,Freight,P20,B,228,228,Snow,6
TR0142,Indian Railways,Howrah,Mumbai CST,invalid_date,2023-05-10 15:56:00,8:00:00,Cancelled,408.1,Passenger,P20,C,483,316,Rain,8
TR0143,Indian Railways,Delhi Junction,Bangalore City,2023-08-29 18:01:00,2023-08-30 02:01:00,8:00:00,On Time,69.76,Metro,P10,D,500,123,Clear,15
TR0144,Amtrak,New York Penn,Boston South,2023-06-01 10:49:00,2023-06-01 22:49:00,12:00:00,On Time,441.07,Intercity,P11,A,312,174,Storm,13
TR0145,Deutsche Bahn,Cologne Hbf,Hamburg Hbf,2023-07-16 10:57:00,2023-07-16 12:57:00,2:00:00,On Time,489.89,Metro,P5,B,210,321,Clear,6
TR0146,Indian Railways,Bangalore City,Chennai Central,2023-12-30 04:31:00,2023-12-30 08:31:00,4:00:00,Cancelled,135.01,High-Speed,P19,B,275,128,Fog,9
TR0147,Via Rail,Montreal Central,Calgary Station,2023-11-27 07:45:00,2023-11-27 17:45:00,10:00:00,On Time,99.72,High-Speed,P18,D,468,306,Storm,16
TR0148,JR Central,Tokyo Station,Hiroshima Station,2023-04-09 09:58:00,2023-04-09 11:58:00,2:00:00,On Time,148.43,Freight,P2,B,468,530,Storm,6
TR0149,Deutsche Bahn,Cologne Hbf,Munich Hbf,2023-04-09 06:28:00,2023-04-09 18:28:00,12:00:00,Cancelled,125.96,Freight,P16,C,435,173,Snow,13
TR0150,Deutsche Bahn,Berlin Hbf,Munich Hbf,2023-06-04 20:31:00,2023-06-05 04:31:00,8:00:00,On Time,299.13,Freight,P3,A,157,306,Storm,3
TR0151,Via Rail,Vancouver Pacific,Toronto Union,2023-01-07 01:03:00,2023-01-07 07:03:00,6:00:00,On Time,470.79,Passenger,P16,E,406,213,Storm,13
TR0152,Via Rail,Montreal Central,Calgary Station,2023-10-20 03:53:00,2023-10-20 12:53:00,9:00:00,Cancelled,398.48,Metro,P11,C,210,447,Storm,17
TR0153,JR Central,Kyoto Station,Tokyo Station,2023-01-30 14:11:00,2023-01-30 17:11:00,3:00:00,Cancelled,476.63,High-Speed,P15,C,111,221,Clear,18
TR0154,Amtrak,Chicago Union,Los Angeles Union,2023-12-24 21:39:00,2023-12-25 05:39:00,8:00:00,Delayed,210.6,Intercity,P12,E,365,293,Storm,4
TR0155,Deutsche Bahn,Cologne Hbf,Hamburg Hbf,2023-09-09 01:26:00,2023-09-09 13:26:00,12:00:00,On Time,468.95,Passenger,P4,C,361,228,Rain,19
