FlightNumber,Airline,Origin,Destination,DepartureTime,ArrivalTime,Duration,Status,Price,AircraftType,GateNumber,Terminal,SeatCapacity,PassengerCount,WeatherCondition,CrewCount
AA9552,United,LAX,JFK,2023-05-10 17:36:25,2023-05-10 21:05:25,0 days 03:29:00,On Time,1281.13,Boeing 777,B7,1,178.0,172.0,Fog,8.0
UA8245,United,BOS,SEA,2023-08-29 01:45:21,2023-08-29 09:44:21,0 days 07:59:00,Delayed,735.66,Boeing 737,D24,2,364.0,242.0,Rain,13.0
AS6827,Alaska Airlines,SEA,JFK,2023-06-07 21:19:39,2023-06-08 03:16:39,0 days 05:57:00,Delayed,241.14,Airbus A380,C1,1,295.0,142.0,Thunderstorm,14.0
SP332,JetBlue,MIA,JFK,2023-10-20 15:05:12,2023-10-20 22:51:12,0 days 07:46:00,On Time,1236.52,Bombardier CRJ900,C6,1,144.0,66.0,Rain,14.0
AA2231,Alaska Airlines,JFK,MIA,2023-04-18 01:38:13,2023-04-18 08:39:13,0 days 07:01:00,On Time,311.57,Boeing 737,B16,4,291.0,268.0,Fog,10.0
UA8554,Alaska Airlines,LAX,SFO,2023-01-04 23:25:54,2023-01-05 04:58:54,0 days 05:33:00,Cancelled,286.71,Embraer 190,C25,1,152.0,143.0,Clear,10.0
SP9831,American Airlines,ORD,LAX,2023-01-21 10:17:32,2023-01-21 12:49:32,0 days 02:32:00,Cancelled,1165.46,Airbus A380,B9,4,376.0,269.0,Rain,13.0
AS4896,United,SEA,BOS,2023-09-22 00:28:53,2023-09-22 10:13:53,0 days 09:45:00,Delayed,1201.85,Boeing 777,B12,1,317.0,157.0,Snow,6.0
SW9746,American Airlines,SEA,ATL,2023-11-29 18:17:58,2023-11-30 04:02:58,0 days 09:45:00,Delayed,84.81,Embraer 190,D24,2,352.0,115.0,Fog,14.0
AA2665,JetBlue,SEA,DFW,2023-09-04 00:47:14,2023-09-04 05:46:14,0 days 04:59:00,Cancelled,609.42,Airbus A320,A2,3,182.0,130.0,Snow,13.0
AS6022,Delta,DEN,MIA,2023-04-22 21:56:22,2023-04-23 07:37:22,0 days 09:41:00,Delayed,614.27,Airbus A320,D25,1,298.0,158.0,Clear,5.0
UA2716,American Airlines,DFW,ATL,2023-08-22 02:36:05,2023-08-22 10:50:05,0 days 08:14:00,Delayed,487.25,Boeing 777,B8,1,186.0,134.0,Cloudy,9.0
UA4931,JetBlue,MIA,JFK,2023-11-24 04:59:52,2023-11-24 09:43:52,0 days 04:44:00,Delayed,1059.34,Bombardier CRJ900,C25,3,146.0,132.0,Fog,
SW4345,United,DFW,BOS,2023-07-27 23:25:48,2023-07-28 08:03:48,0 days 08:38:00,On Time,789.55,Airbus A320,A1,2,114.0,72.0,Thunderstorm,15.0
DL7504,Southwest,ATL,BOS,2023-06-29 17:52:46,2023-06-29 21:21:46,0 days 03:29:00,Delayed,1011.84,Boeing 777,A30,4,260.0,194.0,Clear,12.0
SW5256,United,ORD,JFK,2023-11-08 06:00:41,2023-11-08 13:14:41,0 days 07:14:00,Cancelled,906.54,Airbus A320,B18,3,199.0,,Rain,10.0
AA3510,Southwest,DFW,LAX,2023-03-01 09:15:32,2023-03-01 16:11:32,0 days 06:56:00,Delayed,140.75,Bombardier CRJ900,C16,4,218.0,156.0,Rain,13.0
JB5671,Delta,SFO,LAX,2023-05-13 21:43:18,2023-05-13 22:57:18,0 days 01:14:00,Cancelled,360.85,Boeing 737,C3,3,293.0,64.0,Thunderstorm,5.0
DL7561,United,DFW,ATL,2023-10-24 03:22:23,2023-10-24 13:11:23,0 days 09:49:00,Cancelled,426.98,Boeing 777,D1,1,313.0,277.0,Fog,5.0
UA9231,Alaska Airlines,MIA,LAX,2023-04-28 00:31:57,2023-04-28 05:23:57,0 days 04:52:00,Delayed,152.93,Boeing 737,D17,1,379.0,177.0,Rain,15.0
UA144,American Airlines,MIA,BOS,2023-04-11 07:46:45,2023-04-11 12:22:45,0 days 04:36:00,,1089.9,Bombardier CRJ900,A11,2,263.0,174.0,Clear,
AA4310,Alaska Airlines,ATL,BOS,2023-11-03 10:53:15,2023-11-03 16:38:15,0 days 05:45:00,On Time,508.65,Airbus A320,C27,4,395.0,75.0,Rain,14.0
SP1826,Southwest,MIA,DFW,2023-08-06 01:28:20,2023-08-06 07:02:20,0 days 05:34:00,On Time,1094.33,Airbus A320,C24,4,188.0,117.0,Clear,10.0
AA3037,United,LAX,BOS,2023-05-24 23:51:02,2023-05-25 08:29:02,0 days 08:38:00,Delayed,50.5,Bombardier CRJ900,A4,1,281.0,248.0,Cloudy,15.0
,Spirit,LAX,BOS,2023-11-09 08:08:05,2023-11-09 09:37:05,0 days 01:29:00,On Time,977.31,Embraer 190,C3,2,158.0,118.0,Clear,10.0
AS5816,Spirit,ATL,SFO,2023-01-15 02:39:04,2023-01-15 03:35:04,0 days 00:56:00,Cancelled,1400.18,Airbus A380,A9,3,336.0,109.0,Snow,6.0
UA3360,Alaska Airlines,ORD,JFK,2023-09-10 08:34:34,2023-09-10 12:11:34,0 days 03:37:00,Cancelled,1121.45,Boeing 777,B26,4,339.0,140.0,Thunderstorm,11.0
DL4506,Alaska Airlines,DEN,ATL,2023-05-28 01:44:31,2023-05-28 07:11:31,0 days 05:27:00,Delayed,1251.74,Boeing 737,B20,1,244.0,173.0,Cloudy,5.0
DL9378,American Airlines,DFW,SEA,2023-04-23 01:12:45,2023-04-23 10:58:45,0 days 09:46:00,Cancelled,1118.46,Airbus A380,A28,International,201.0,137.0,Thunderstorm,13.0
SP5364,Southwest,BOS,MIA,2023-03-28 19:18:30,2023-03-28 23:03:30,0 days 03:45:00,Cancelled,1026.21,Bombardier CRJ900,C4,2,334.0,313.0,Cloudy,8.0
AS1812,Southwest,LAX,JFK,2023-01-12 06:54:34,2023-01-12 10:30:34,0 days 03:36:00,On Time,1266.48,Boeing 777,A18,4,149.0,53.0,Thunderstorm,14.0
SW6089,Spirit,ATL,LAX,2023-08-02 16:45:56,2023-08-02 17:16:56,0 days 00:31:00,Cancelled,303.1,Airbus A380,B24,2,179.0,137.0,Thunderstorm,7.0
JB5958,American Airlines,BOS,DFW,2023-03-11 19:11:02,2023-03-11 22:30:02,0 days 03:19:00,On Time,496.72,Boeing 777,B27,1,351.0,59.0,Fog,7.0
SP3346,JetBlue,ATL,MIA,2023-10-28 23:20:29,2023-10-29 05:10:29,0 days 05:50:00,Cancelled,243.33,Bombardier CRJ900,B20,3,272.0,186.0,Thunderstorm,15.0
DL7057,JetBlue,ORD,BOS,2023-09-01 19:15:40,2023-09-02 02:47:40,0 days 07:32:00,On Time,574.25,Bombardier CRJ900,B30,1,242.0,235.0,Rain,7.0
UA1440,Spirit,SFO,MIA,2023-05-09 02:17:52,2023-05-09 08:32:52,0 days 06:15:00,Cancelled,300.4,Embraer 190,A11,2,261.0,246.0,Snow,7.0
JB999,Delta,ATL,ORD,2023-04-25 16:31:53,2023-04-25 20:02:53,0 days 03:31:00,Delayed,961.9,Bombardier CRJ900,C18,1,265.0,253.0,Thunderstorm,10.0
SW3822,Alaska Airlines,DFW,ORD,2023-10-05 10:40:30,2023-10-05 14:43:30,0 days 04:03:00,On Time,422.79,Embraer 190,C28,International,241.0,132.0,Snow,11.0
AS1640,Southwest,ORD,JFK,2023-08-20 23:23:21,2023-08-21 04:09:21,0 days 04:46:00,On Time,522.66,Boeing 737,A22,2,142.0,141.0,Cloudy,6.0
AA8677,Southwest,SFO,DEN,2023-01-31 18:11:52,2023-02-01 02:03:52,0 days 07:52:00,On Time,901.34,Airbus A380,B12,2,190.0,94.0,Clear,12.0
AA9742,Delta,LAX,SEA,2023-03-13 23:14:46,2023-03-14 02:06:46,0 days 02:52:00,On Time,234.16,Bombardier CRJ900,D24,1,348.0,249.0,Snow,12.0
UA2853,JetBlue,MIA,LAX,2023-12-18 04:03:00,2023-12-18 12:10:00,0 days 08:07:00,On Time,1220.08,Bombardier CRJ900,B11,International,281.0,198.0,Rain,11.0
SW4828,Southwest,ORD,LAX,2023-09-14 02:08:12,2023-09-14 03:37:12,0 days 01:29:00,Cancelled,1137.81,Airbus A380,D12,3,375.0,123.0,Fog,13.0
UA7472,American Airlines,MIA,SFO,2023-11-19 22:02:19,2023-11-20 06:18:19,0 days 08:16:00,Cancelled,1416.82,Airbus A380,A14,3,314.0,212.0,Cloudy,15.0
SW9876,United,ATL,LAX,2023-12-05 04:23:28,2023-12-05 11:09:28,0 days 06:46:00,Cancelled,573.44,Embraer 190,C11,3,113.0,78.0,Rain,5.0
JB9389,Alaska Airlines,,LAX,2023-01-09 10:55:58,2023-01-09 12:27:58,0 days 01:32:00,Delayed,535.3,Boeing 737,C14,2,144.0,97.0,Rain,10.0
AA2700,American Airlines,JFK,LAX,2023-10-27 17:55:08,2023-10-27 21:47:08,0 days 03:52:00,On Time,1116.3,Boeing 777,D4,4,210.0,106.0,Rain,7.0
SW4020,JetBlue,LAX,SFO,2023-06-16 12:15:30,2023-06-16 15:20:30,0 days 03:05:00,Delayed,1347.95,Airbus A320,B17,3,,100.0,Rain,14.0
SP3207,American Airlines,DFW,SEA,2023-10-28 19:37:41,2023-10-29 02:28:41,0 days 06:51:00,Cancelled,54.57,Boeing 737,D29,1,123.0,79.0,Snow,15.0
DL2894,Southwest,SFO,ORD,2023-08-14 11:45:17,2023-08-14 20:59:17,0 days 09:14:00,On Time,283.31,Airbus A380,B17,4,325.0,315.0,Fog,10.0
JB5129,Alaska Airlines,DFW,SEA,2023-07-04 07:33:35,2023-07-04 17:04:35,0 days 09:31:00,Cancelled,752.49,Airbus A380,C25,International,361.0,121.0,Cloudy,12.0
SP1468,United,BOS,SEA,2023-10-18 16:44:58,2023-10-18 21:24:58,0 days 04:40:00,Cancelled,482.21,Boeing 737,B17,2,178.0,100.0,Thunderstorm,13.0
SP8631,Delta,MIA,SEA,2023-04-03 19:02:08,2023-04-03 23:25:08,0 days 04:23:00,Cancelled,953.38,Boeing 737,A22,4,257.0,181.0,Clear,7.0
SP7861,American Airlines,BOS,MIA,2023-03-04 09:59:01,2023-03-04 10:34:01,0 days 00:35:00,Cancelled,289.3,Boeing 777,C5,4,303.0,259.0,Snow,6.0
AS3342,American Airlines,ATL,LAX,2023-11-19 22:19:22,2023-11-20 06:24:22,0 days 08:05:00,Cancelled,340.26,Airbus A320,A18,1,249.0,123.0,Rain,10.0
UA5203,American Airlines,ORD,SEA,2023-01-31 16:28:39,2023-01-31 20:10:39,0 days 03:42:00,Delayed,1355.06,Boeing 737,D28,2,249.0,217.0,Cloudy,10.0
DL9784,Southwest,DEN,SFO,2023-12-04 15:24:58,2023-12-04 15:56:58,0 days 00:32:00,On Time,514.95,Bombardier CRJ900,D9,2,347.0,346.0,Rain,12.0
SP4214,Southwest,DFW,MIA,2023-04-10 06:22:53,2023-04-10 12:05:53,0 days 05:43:00,Cancelled,256.12,Airbus A320,C28,1,319.0,229.0,Fog,10.0
AA9728,Southwest,SEA,DFW,2023-10-06 06:24:39,2023-10-06 12:45:39,0 days 06:21:00,On Time,109.79,Boeing 777,C16,International,394.0,96.0,Thunderstorm,8.0
AA7380,Alaska Airlines,BOS,JFK,2023-03-08 08:15:36,2023-03-08 16:23:36,0 days 08:08:00,Cancelled,598.62,Embraer 190,B14,2,360.0,316.0,Snow,7.0
JB7809,Southwest,ATL,DFW,2023-10-05 20:54:45,2023-10-05 21:53:45,0 days 00:59:00,Cancelled,311.52,Embraer 190,D25,3,241.0,159.0,Fog,13.0
AA4895,Spirit,DFW,SFO,2023-09-26 01:55:44,2023-09-26 02:31:44,0 days 00:36:00,Delayed,132.78,Airbus A380,C23,International,298.0,124.0,Thunderstorm,13.0
SP2830,Delta,DFW,SFO,2023-01-01 12:13:54,2023-01-01 13:45:54,0 days 01:32:00,On Time,864.69,Bombardier CRJ900,D16,1,231.0,216.0,Clear,9.0
SP3887,JetBlue,SEA,SFO,2023-02-11 21:19:40,2023-02-12 05:50:40,0 days 08:31:00,On Time,81.65,Airbus A380,C7,4,242.0,132.0,Cloudy,8.0
JB8595,American Airlines,SEA,ATL,2023-07-12 05:24:47,2023-07-12 11:46:47,0 days 06:22:00,On Time,465.22,Airbus A380,B14,International,299.0,207.0,Thunderstorm,8.0
AS4479,Delta,ORD,DFW,2023-04-07 08:44:14,2023-04-07 09:25:14,0 days 00:41:00,Cancelled,1177.44,Airbus A380,C27,4,259.0,125.0,Thunderstorm,11.0
DL1141,Alaska Airlines,LAX,DFW,2023-01-02 19:36:17,2023-01-03 01:06:17,0 days 05:30:00,On Time,341.94,Boeing 737,C30,3,360.0,104.0,Fog,15.0
JB3452,United,DFW,SFO,2023-12-23 14:03:55,2023-12-23 20:45:55,0 days 06:42:00,On Time,154.45,Boeing 777,C2,International,282.0,175.0,Fog,12.0
SP6918,JetBlue,DFW,JFK,2023-06-10 02:17:00,2023-06-10 11:29:00,0 days 09:12:00,Cancelled,189.03,Airbus A320,B13,3,230.0,219.0,Rain,6.0
JB6352,Southwest,SEA,JFK,2023-02-20 02:09:50,2023-02-20 12:01:50,0 days 09:52:00,On Time,640.78,Boeing 777,A12,4,156.0,152.0,Snow,11.0
AA3384,United,SEA,MIA,2023-11-05 14:48:32,2023-11-05 22:44:32,0 days 07:56:00,Cancelled,735.94,Airbus A320,A27,International,372.0,289.0,Fog,6.0
SP2442,United,ATL,LAX,2023-12-03 01:57:17,2023-12-03 07:59:17,0 days 06:02:00,On Time,1365.38,Bombardier CRJ900,A17,4,286.0,209.0,Rain,5.0
DL7464,Alaska Airlines,LAX,DEN,2023-11-08 01:41:45,2023-11-08 08:32:45,0 days 06:51:00,On Time,1490.13,Boeing 777,A18,2,124.0,67.0,Fog,12.0
AS1592,Delta,ORD,SFO,2023-08-09 14:16:55,2023-08-09 18:00:55,0 days 03:44:00,On Time,450.28,Airbus A320,B12,2,260.0,228.0,Thunderstorm,10.0
AS6700,Southwest,ATL,BOS,2023-02-26 15:51:18,2023-02-27 00:30:18,0 days 08:39:00,On Time,1454.36,Airbus A320,B28,1,186.0,55.0,Thunderstorm,11.0
SP2992,United,LAX,MIA,2023-11-18 11:41:23,2023-11-18 20:22:23,0 days 08:41:00,On Time,1319.46,Airbus A380,D22,2,395.0,53.0,Snow,5.0
UA6589,Alaska Airlines,JFK,ATL,2023-02-02 15:53:17,2023-02-02 21:44:17,0 days 05:51:00,Delayed,1016.06,Embraer 190,C20,2,284.0,143.0,Thunderstorm,7.0
AS4493,Delta,JFK,ORD,2023-01-20 20:39:39,2023-01-21 04:29:39,0 days 07:50:00,On Time,857.96,Airbus A320,D13,3,266.0,107.0,Cloudy,9.0
JB5070,United,BOS,MIA,2023-03-01 18:48:21,2023-03-02 01:36:21,0 days 06:48:00,Delayed,430.65,Bombardier CRJ900,D10,1,336.0,170.0,,13.0
AS738,Delta,BOS,DFW,2023-09-30 04:12:46,2023-09-30 07:03:46,0 days 02:51:00,Delayed,738.72,Airbus A320,C14,4,166.0,99.0,Clear,8.0
DL4301,Alaska Airlines,SEA,DFW,2023-10-17 21:59:35,2023-10-18 03:52:35,0 days 05:53:00,On Time,1389.63,Boeing 777,B24,2,126.0,63.0,Cloudy,10.0
UA5543,JetBlue,SFO,MIA,2023-03-08 15:43:59,2023-03-09 01:15:59,0 days 09:32:00,Cancelled,841.31,Bombardier CRJ900,D8,2,115.0,61.0,Fog,14.0
SW8169,Spirit,ATL,SFO,2023-07-10 14:20:07,2023-07-10 19:18:07,0 days 04:58:00,On Time,1093.05,Airbus A320,B18,1,383.0,159.0,Thunderstorm,7.0
SP8317,Southwest,JFK,SFO,2023-08-27 03:24:37,2023-08-27 05:34:37,0 days 02:10:00,Delayed,610.33,Embraer 190,B29,2,143.0,69.0,Thunderstorm,12.0
DL7477,Southwest,DFW,SFO,2023-03-23 11:44:30,2023-03-23 14:20:30,0 days 02:36:00,On Time,702.71,Boeing 737,B6,2,369.0,256.0,Rain,6.0
SW663,Alaska Airlines,SFO,SEA,2023-03-07 20:11:17,2023-03-08 00:57:17,0 days 04:46:00,Delayed,64.45,Airbus A320,B10,2,318.0,173.0,Clear,10.0
SW2177,,DEN,SEA,2023-04-17 05:52:23,2023-04-17 11:43:23,0 days 05:51:00,On Time,1278.59,Airbus A380,D20,4,187.0,63.0,Clear,13.0
UA8851,Alaska Airlines,DFW,SFO,2023-11-11 22:22:56,2023-11-11 23:41:56,0 days 01:19:00,Cancelled,999.66,Bombardier CRJ900,A15,2,212.0,86.0,Clear,5.0
UA6928,American Airlines,SFO,SEA,2023-11-04 11:46:21,2023-11-04 16:01:21,0 days 04:15:00,Cancelled,150.98,Boeing 777,B27,International,217.0,178.0,Cloudy,13.0
AA5784,American Airlines,DFW,SFO,2023-04-26 03:37:40,2023-04-26 07:22:40,0 days 03:45:00,Delayed,1319.14,Boeing 777,B22,2,131.0,123.0,Rain,6.0
SP3943,United,JFK,,2023-02-06 12:00:05,2023-02-06 17:13:05,0 days 05:13:00,On Time,424.84,Boeing 777,A24,1,136.0,70.0,Snow,7.0
UA2625,JetBlue,LAX,DFW,2023-03-03 05:27:14,2023-03-03 08:23:14,0 days 02:56:00,Cancelled,1143.26,Boeing 737,D1,4,236.0,144.0,Rain,8.0
JB3261,American Airlines,ORD,DFW,2023-07-26 13:31:01,2023-07-26 14:08:01,0 days 00:37:00,Delayed,724.87,Bombardier CRJ900,D11,3,135.0,104.0,Rain,7.0
SW7783,Delta,ORD,LAX,2023-08-10 11:30:56,2023-08-10 15:01:56,0 days 03:31:00,Delayed,469.44,Boeing 737,C21,4,328.0,196.0,Rain,5.0
SW4119,Spirit,MIA,DFW,2023-08-21 17:12:09,2023-08-22 00:47:09,0 days 07:35:00,Delayed,282.5,Bombardier CRJ900,A10,International,165.0,138.0,Rain,5.0
AA2048,Alaska Airlines,DFW,SEA,2023-08-02 22:04:51,2023-08-03 01:07:51,0 days 03:03:00,Delayed,900.56,Bombardier CRJ900,C8,2,192.0,73.0,Clear,10.0
SW9610,Delta,JFK,ORD,2023-10-30 12:15:53,2023-10-30 21:47:53,0 days 09:32:00,Cancelled,361.15,Boeing 777,D21,4,277.0,275.0,Thunderstorm,10.0
AS2352,United,DEN,JFK,2023-08-28 04:42:11,2023-08-28 10:55:11,0 days 06:13:00,On Time,102.2,Embraer 190,B15,International,379.0,312.0,Fog,5.0
AA6034,Delta,ORD,LAX,2023-04-24 01:20:34,2023-04-24 09:05:34,0 days 07:45:00,Cancelled,1296.86,Airbus A380,A8,International,213.0,57.0,Thunderstorm,10.0
AA6389,American Airlines,SEA,ORD,2023-08-04 00:23:27,2023-08-04 09:08:27,0 days 08:45:00,On Time,728.65,Airbus A380,A7,International,287.0,166.0,Clear,5.0
DL6370,JetBlue,LAX,DEN,2023-03-13 10:06:59,2023-03-13 15:41:59,0 days 05:35:00,On Time,897.11,Embraer 190,A4,4,296.0,148.0,Clear,7.0
JB6437,United,BOS,JFK,2023-08-14 10:03:49,2023-08-14 17:31:49,0 days 07:28:00,Cancelled,1198.74,Embraer 190,C4,3,155.0,91.0,Cloudy,14.0
JB3019,JetBlue,MIA,SEA,2023-07-02 11:41:41,2023-07-02 13:14:41,0 days 01:33:00,Cancelled,1054.84,Airbus A320,C25,3,109.0,100.0,Cloudy,13.0
AS6692,American Airlines,JFK,LAX,2023-01-18 09:41:01,2023-01-18 14:46:01,0 days 05:05:00,Delayed,884.85,Boeing 777,C24,4,120.0,80.0,Cloudy,7.0
AS4731,Spirit,ORD,DFW,2023-02-15 00:36:52,2023-02-15 03:26:52,0 days 02:50:00,On Time,311.68,Bombardier CRJ900,C10,2,361.0,157.0,Snow,7.0
DL7419,Delta,BOS,DFW,2023-06-18 19:16:15,2023-06-19 01:52:15,0 days 06:36:00,On Time,579.86,Embraer 190,A29,3,287.0,65.0,Rain,14.0
JB5416,Delta,ORD,DEN,2023-05-27 02:03:38,,0 days 09:26:00,On Time,1127.77,Airbus A320,C21,4,,117.0,Rain,14.0
SP4760,,ORD,SFO,2023-03-21 00:25:54,2023-03-21 03:07:54,0 days 02:42:00,Delayed,1155.16,Bombardier CRJ900,A9,3,242.0,64.0,Fog,8.0
SW8456,Delta,MIA,SFO,2023-03-31 07:18:53,2023-03-31 12:01:53,0 days 04:43:00,Delayed,825.43,Bombardier CRJ900,D28,4,349.0,272.0,Snow,7.0
SP9626,United,LAX,DEN,2023-01-09 22:56:02,2023-01-10 03:21:02,0 days 04:25:00,On Time,690.98,Boeing 777,D26,1,152.0,78.0,Thunderstorm,8.0
AA1124,United,DEN,BOS,2023-11-06 01:42:33,2023-11-06 11:26:33,0 days 09:44:00,Delayed,1030.4,Airbus A380,B18,International,246.0,200.0,Clear,9.0
JB5912,Delta,DEN,BOS,2023-09-01 13:34:43,2023-09-01 17:43:43,0 days 04:09:00,Delayed,1324.67,Boeing 777,D17,4,357.0,126.0,Clear,9.0
SP7187,Spirit,MIA,ATL,2023-09-22 10:43:47,2023-09-22 13:46:47,0 days 03:03:00,Cancelled,908.52,Bombardier CRJ900,C18,International,248.0,247.0,,9.0
SW9964,American Airlines,BOS,LAX,2023-11-25 13:22:50,2023-11-25 16:27:50,0 days 03:05:00,Delayed,401.71,Embraer 190,D17,International,188.0,158.0,Cloudy,6.0
DL4923,JetBlue,DFW,MIA,2023-09-20 05:58:48,2023-09-20 08:05:48,0 days 02:07:00,Cancelled,910.49,Embraer 190,D28,4,387.0,69.0,Snow,
SP4314,Alaska Airlines,DFW,ATL,2023-07-19 18:00:09,2023-07-19 19:39:09,0 days 01:39:00,Delayed,933.77,Airbus A320,C8,4,330.0,176.0,Rain,6.0
SW7531,Southwest,ATL,SFO,2023-03-23 06:04:27,2023-03-23 08:32:27,0 days 02:28:00,Delayed,174.2,Embraer 190,A24,3,198.0,96.0,Cloudy,8.0
UA4110,Delta,MIA,ATL,2023-04-11 17:18:23,2023-04-12 03:06:23,0 days 09:48:00,Cancelled,416.24,Airbus A320,D2,3,157.0,142.0,Cloudy,15.0
JB4853,United,JFK,DEN,2023-12-13 02:44:45,2023-12-13 07:26:45,0 days 04:42:00,On Time,1162.72,Airbus A380,B26,International,396.0,342.0,Cloudy,6.0
DL5240,Delta,JFK,MIA,2023-06-15 04:04:34,2023-06-15 11:44:34,0 days 07:40:00,Cancelled,300.45,Airbus A380,B29,1,385.0,214.0,Thunderstorm,10.0
SW1450,Southwest,MIA,ORD,2023-09-13 08:46:56,2023-09-13 10:16:56,0 days 01:30:00,On Time,634.13,Bombardier CRJ900,C19,1,181.0,104.0,Snow,14.0
AA8224,JetBlue,DEN,DFW,2023-08-11 06:44:30,2023-08-11 11:14:30,0 days 04:30:00,Delayed,691.37,Embraer 190,A10,4,375.0,67.0,Rain,9.0
AS8605,United,SFO,SEA,2023-09-19 22:17:40,2023-09-20 03:47:40,0 days 05:30:00,Cancelled,1400.72,Boeing 777,C12,1,171.0,100.0,Clear,11.0
AA1014,Spirit,ATL,ORD,2023-11-12 07:33:39,2023-11-12 11:53:39,0 days 04:20:00,On Time,945.27,Boeing 777,C23,3,314.0,233.0,Rain,15.0
AS3278,Spirit,DFW,ATL,2023-11-17 08:30:35,2023-11-17 12:36:35,0 days 04:06:00,Delayed,184.05,Embraer 190,D4,4,141.0,136.0,Cloudy,13.0
AS9408,Delta,SEA,DFW,2023-10-20 19:28:44,2023-10-21 01:19:44,0 days 05:51:00,Cancelled,261.88,Airbus A320,B29,3,271.0,253.0,Cloudy,5.0
AA7652,Delta,ATL,BOS,2023-12-05 21:33:47,2023-12-06 00:47:47,0 days 03:14:00,Delayed,152.15,Boeing 737,D25,4,106.0,55.0,Fog,7.0
AA9392,Southwest,ATL,SFO,2023-08-14 01:16:12,2023-08-14 09:48:12,,On Time,120.39,Airbus A380,C8,4,278.0,267.0,Thunderstorm,8.0
AA2664,United,LAX,MIA,2023-10-03 15:43:39,2023-10-03 17:05:39,0 days 01:22:00,Delayed,292.65,Bombardier CRJ900,A30,2,201.0,102.0,Rain,8.0
DL485,Alaska Airlines,MIA,JFK,2023-06-28 14:29:33,2023-06-28 15:57:33,0 days 01:28:00,On Time,909.0,Embraer 190,A23,3,220.0,106.0,Rain,5.0
UA6294,JetBlue,LAX,DEN,2023-12-15 12:50:42,2023-12-15 14:21:42,0 days 01:31:00,Delayed,1421.07,Airbus A320,D19,2,120.0,98.0,Clear,
SP7452,Southwest,SEA,DEN,2023-12-30 11:11:30,2023-12-30 18:52:30,0 days 07:41:00,Delayed,304.17,Airbus A380,C4,2,159.0,73.0,Snow,9.0
AS5778,Southwest,MIA,JFK,2023-09-20 20:17:07,2023-09-21 06:16:07,0 days 09:59:00,Cancelled,234.47,Boeing 737,A23,International,200.0,83.0,Thunderstorm,13.0
SP5607,JetBlue,ATL,SFO,2023-06-29 01:17:30,2023-06-29 05:06:30,0 days 03:49:00,Cancelled,142.01,Bombardier CRJ900,A29,2,196.0,,Fog,14.0
AA7139,Alaska Airlines,JFK,ORD,2023-06-22 06:07:13,2023-06-22 14:10:13,0 days 08:03:00,Cancelled,726.22,Boeing 737,A19,International,349.0,51.0,Fog,5.0
