FlightNumber,Airline,Origin,Destination,DepartureTime,ArrivalTime,Duration,Status,Price,AircraftType,GateNumber,Terminal,SeatCapacity,PassengerCount,WeatherCondition,CrewCount,TransportType,VehicleID,ScheduledDeparture,ScheduledArrival,ActualDeparture,ActualArrival,DelayDuration,RouteCode
DL3929,Alaska Airlines,JFK,DFW,2023-08-29 07:53:42,2023-08-29 17:18:42,0 days 09:25:00,Cancelled,73.88,Bombardier CRJ900,C26,4,298.0,298.0,Rain,8.0,Flight,DL3929,2023-08-29 07:53:42,2023-08-29 17:18:42,2023-08-29 07:53:42,2023-08-29 17:18:42,0.0,JFK_DFW
UA3408,Delta,ATL,LAX,2023-02-08 08:37:00,2023-02-08 11:17:00,0 days 02:40:00,Delayed,887.34,Boeing 777,B3,2,122.0,115.0,Snow,6.0,Flight,UA3408,2023-02-08 08:37:00,2023-02-08 11:17:00,2023-02-08 08:37:00,2023-02-08 11:47:00,30.0,ATL_LAX
AA9552,United,LAX,JFK,2023-05-10 17:36:25,2023-05-10 21:05:25,0 days 03:29:00,On Time,1281.13,Boeing 777,B7,1,178.0,172.0,Fog,8.0,Flight,AA9552,2023-05-10 17:36:25,2023-05-10 21:05:25,2023-05-10 17:36:25,2023-05-10 21:05:25,0.0,LAX_JFK
UA8245,United,BOS,SEA,2023-08-29 01:45:21,2023-08-29 09:44:21,0 days 07:59:00,Delayed,735.66,Boeing 737,D24,2,364.0,242.0,Rain,13.0,Flight,UA8245,2023-08-29 01:45:21,2023-08-29 09:44:21,2023-08-29 01:45:21,2023-08-29 10:14:21,30.0,BOS_SEA
AS6827,Alaska Airlines,SEA,JFK,2023-06-07 21:19:39,2023-06-08 03:16:39,0 days 05:57:00,Delayed,241.14,Airbus A380,C1,1,295.0,142.0,Thunderstorm,14.0,Flight,AS6827,2023-06-07 21:19:39,2023-06-08 03:16:39,2023-06-07 21:19:39,2023-06-08 03:46:39,30.0,SEA_JFK
SP332,JetBlue,MIA,JFK,2023-10-20 15:05:12,2023-10-20 22:51:12,0 days 07:46:00,On Time,1236.52,Bombardier CRJ900,C6,1,144.0,66.0,Rain,14.0,Flight,SP332,2023-10-20 15:05:12,2023-10-20 22:51:12,2023-10-20 15:05:12,2023-10-20 22:51:12,0.0,MIA_JFK
AA2231,Alaska Airlines,JFK,MIA,2023-04-18 01:38:13,2023-04-18 08:39:13,0 days 07:01:00,On Time,311.57,Boeing 737,B16,4,291.0,268.0,Fog,10.0,Flight,AA2231,2023-04-18 01:38:13,2023-04-18 08:39:13,2023-04-18 01:38:13,2023-04-18 08:39:13,0.0,JFK_MIA
UA8554,Alaska Airlines,LAX,SFO,2023-01-04 23:25:54,2023-01-05 04:58:54,0 days 05:33:00,Cancelled,286.71,Embraer 190,C25,1,152.0,143.0,Clear,10.0,Flight,UA8554,2023-01-04 23:25:54,2023-01-05 04:58:54,2023-01-04 23:25:54,2023-01-05 04:58:54,0.0,LAX_SFO
SP9831,American Airlines,ORD,LAX,2023-01-21 10:17:32,2023-01-21 12:49:32,0 days 02:32:00,Cancelled,1165.46,Airbus A380,B9,4,376.0,269.0,Rain,13.0,Flight,SP9831,2023-01-21 10:17:32,2023-01-21 12:49:32,2023-01-21 10:17:32,2023-01-21 12:49:32,0.0,ORD_LAX
AS4896,United,SEA,BOS,2023-09-22 00:28:53,2023-09-22 10:13:53,0 days 09:45:00,Delayed,1201.85,Boeing 777,B12,1,317.0,157.0,Snow,6.0,Flight,AS4896,2023-09-22 00:28:53,2023-09-22 10:13:53,2023-09-22 00:28:53,2023-09-22 10:43:53,30.0,SEA_BOS
SW9746,American Airlines,SEA,ATL,2023-11-29 18:17:58,2023-11-30 04:02:58,0 days 09:45:00,Delayed,84.81,Embraer 190,D24,2,352.0,115.0,Fog,14.0,Flight,SW9746,2023-11-29 18:17:58,2023-11-30 04:02:58,2023-11-29 18:17:58,2023-11-30 04:32:58,30.0,SEA_ATL
AA2665,JetBlue,SEA,DFW,2023-09-04 00:47:14,2023-09-04 05:46:14,0 days 04:59:00,Cancelled,609.42,Airbus A320,A2,3,182.0,130.0,Snow,13.0,Flight,AA2665,2023-09-04 00:47:14,2023-09-04 05:46:14,2023-09-04 00:47:14,2023-09-04 05:46:14,0.0,SEA_DFW
AS6022,Delta,DEN,MIA,2023-04-22 21:56:22,2023-04-23 07:37:22,0 days 09:41:00,Delayed,614.27,Airbus A320,D25,1,298.0,158.0,Clear,5.0,Flight,AS6022,2023-04-22 21:56:22,2023-04-23 07:37:22,2023-04-22 21:56:22,2023-04-23 08:07:22,30.0,DEN_MIA
UA2716,American Airlines,DFW,ATL,2023-08-22 02:36:05,2023-08-22 10:50:05,0 days 08:14:00,Delayed,487.25,Boeing 777,B8,1,186.0,134.0,Cloudy,9.0,Flight,UA2716,2023-08-22 02:36:05,2023-08-22 10:50:05,2023-08-22 02:36:05,2023-08-22 11:20:05,30.0,DFW_ATL
UA4931,JetBlue,MIA,JFK,2023-11-24 04:59:52,2023-11-24 09:43:52,0 days 04:44:00,Delayed,1059.34,Bombardier CRJ900,C25,3,146.0,132.0,Fog,,Flight,UA4931,2023-11-24 04:59:52,2023-11-24 09:43:52,2023-11-24 04:59:52,2023-11-24 10:13:52,30.0,MIA_JFK
SW4345,United,DFW,BOS,2023-07-27 23:25:48,2023-07-28 08:03:48,0 days 08:38:00,On Time,789.55,Airbus A320,A1,2,114.0,72.0,Thunderstorm,15.0,Flight,SW4345,2023-07-27 23:25:48,2023-07-28 08:03:48,2023-07-27 23:25:48,2023-07-28 08:03:48,0.0,DFW_BOS
DL7504,Southwest,ATL,BOS,2023-06-29 17:52:46,2023-06-29 21:21:46,0 days 03:29:00,Delayed,1011.84,Boeing 777,A30,4,260.0,194.0,Clear,12.0,Flight,DL7504,2023-06-29 17:52:46,2023-06-29 21:21:46,2023-06-29 17:52:46,2023-06-29 21:51:46,30.0,ATL_BOS
SW5256,United,ORD,JFK,2023-11-08 06:00:41,2023-11-08 13:14:41,0 days 07:14:00,Cancelled,906.54,Airbus A320,B18,3,199.0,,Rain,10.0,Flight,SW5256,2023-11-08 06:00:41,2023-11-08 13:14:41,2023-11-08 06:00:41,2023-11-08 13:14:41,0.0,ORD_JFK
AA3510,Southwest,DFW,LAX,2023-03-01 09:15:32,2023-03-01 16:11:32,0 days 06:56:00,Delayed,140.75,Bombardier CRJ900,C16,4,218.0,156.0,Rain,13.0,Flight,AA3510,2023-03-01 09:15:32,2023-03-01 16:11:32,2023-03-01 09:15:32,2023-03-01 16:41:32,30.0,DFW_LAX
JB5671,Delta,SFO,LAX,2023-05-13 21:43:18,2023-05-13 22:57:18,0 days 01:14:00,Cancelled,360.85,Boeing 737,C3,3,293.0,64.0,Thunderstorm,5.0,Flight,JB5671,2023-05-13 21:43:18,2023-05-13 22:57:18,2023-05-13 21:43:18,2023-05-13 22:57:18,0.0,SFO_LAX
DL7561,United,DFW,ATL,2023-10-24 03:22:23,2023-10-24 13:11:23,0 days 09:49:00,Cancelled,426.98,Boeing 777,D1,1,313.0,277.0,Fog,5.0,Flight,DL7561,2023-10-24 03:22:23,2023-10-24 13:11:23,2023-10-24 03:22:23,2023-10-24 13:11:23,0.0,DFW_ATL
UA9231,Alaska Airlines,MIA,LAX,2023-04-28 00:31:57,2023-04-28 05:23:57,0 days 04:52:00,Delayed,152.93,Boeing 737,D17,1,379.0,177.0,Rain,15.0,Flight,UA9231,2023-04-28 00:31:57,2023-04-28 05:23:57,2023-04-28 00:31:57,2023-04-28 05:53:57,30.0,MIA_LAX
UA144,American Airlines,MIA,BOS,2023-04-11 07:46:45,2023-04-11 12:22:45,0 days 04:36:00,,1089.9,Bombardier CRJ900,A11,2,263.0,174.0,Clear,,Flight,UA144,2023-04-11 07:46:45,2023-04-11 12:22:45,2023-04-11 07:46:45,2023-04-11 12:22:45,0.0,MIA_BOS
AA4310,Alaska Airlines,ATL,BOS,2023-11-03 10:53:15,2023-11-03 16:38:15,0 days 05:45:00,On Time,508.65,Airbus A320,C27,4,395.0,75.0,Rain,14.0,Flight,AA4310,2023-11-03 10:53:15,2023-11-03 16:38:15,2023-11-03 10:53:15,2023-11-03 16:38:15,0.0,ATL_BOS
SP1826,Southwest,MIA,DFW,2023-08-06 01:28:20,2023-08-06 07:02:20,0 days 05:34:00,On Time,1094.33,Airbus A320,C24,4,188.0,117.0,Clear,10.0,Flight,SP1826,2023-08-06 01:28:20,2023-08-06 07:02:20,2023-08-06 01:28:20,2023-08-06 07:02:20,0.0,MIA_DFW
AA3037,United,LAX,BOS,2023-05-24 23:51:02,2023-05-25 08:29:02,0 days 08:38:00,Delayed,50.5,Bombardier CRJ900,A4,1,281.0,248.0,Cloudy,15.0,Flight,AA3037,2023-05-24 23:51:02,2023-05-25 08:29:02,2023-05-24 23:51:02,2023-05-25 08:59:02,30.0,LAX_BOS
,Spirit,LAX,BOS,2023-11-09 08:08:05,2023-11-09 09:37:05,0 days 01:29:00,On Time,977.31,Embraer 190,C3,2,158.0,118.0,Clear,10.0,Flight,,2023-11-09 08:08:05,2023-11-09 09:37:05,2023-11-09 08:08:05,2023-11-09 09:37:05,0.0,LAX_BOS
AS5816,Spirit,ATL,SFO,2023-01-15 02:39:04,2023-01-15 03:35:04,0 days 00:56:00,Cancelled,1400.18,Airbus A380,A9,3,336.0,109.0,Snow,6.0,Flight,AS5816,2023-01-15 02:39:04,2023-01-15 03:35:04,2023-01-15 02:39:04,2023-01-15 03:35:04,0.0,ATL_SFO
UA3360,Alaska Airlines,ORD,JFK,2023-09-10 08:34:34,2023-09-10 12:11:34,0 days 03:37:00,Cancelled,1121.45,Boeing 777,B26,4,339.0,140.0,Thunderstorm,11.0,Flight,UA3360,2023-09-10 08:34:34,2023-09-10 12:11:34,2023-09-10 08:34:34,2023-09-10 12:11:34,0.0,ORD_JFK
DL4506,Alaska Airlines,DEN,ATL,2023-05-28 01:44:31,2023-05-28 07:11:31,0 days 05:27:00,Delayed,1251.74,Boeing 737,B20,1,244.0,173.0,Cloudy,5.0,Flight,DL4506,2023-05-28 01:44:31,2023-05-28 07:11:31,2023-05-28 01:44:31,2023-05-28 07:41:31,30.0,DEN_ATL
DL9378,American Airlines,DFW,SEA,2023-04-23 01:12:45,2023-04-23 10:58:45,0 days 09:46:00,Cancelled,1118.46,Airbus A380,A28,International,201.0,137.0,Thunderstorm,13.0,Flight,DL9378,2023-04-23 01:12:45,2023-04-23 10:58:45,2023-04-23 01:12:45,2023-04-23 10:58:45,0.0,DFW_SEA
SP5364,Southwest,BOS,MIA,2023-03-28 19:18:30,2023-03-28 23:03:30,0 days 03:45:00,Cancelled,1026.21,Bombardier CRJ900,C4,2,334.0,313.0,Cloudy,8.0,Flight,SP5364,2023-03-28 19:18:30,2023-03-28 23:03:30,2023-03-28 19:18:30,2023-03-28 23:03:30,0.0,BOS_MIA
AS1812,Southwest,LAX,JFK,2023-01-12 06:54:34,2023-01-12 10:30:34,0 days 03:36:00,On Time,1266.48,Boeing 777,A18,4,149.0,53.0,Thunderstorm,14.0,Flight,AS1812,2023-01-12 06:54:34,2023-01-12 10:30:34,2023-01-12 06:54:34,2023-01-12 10:30:34,0.0,LAX_JFK
SW6089,Spirit,ATL,LAX,2023-08-02 16:45:56,2023-08-02 17:16:56,0 days 00:31:00,Cancelled,303.1,Airbus A380,B24,2,179.0,137.0,Thunderstorm,7.0,Flight,SW6089,2023-08-02 16:45:56,2023-08-02 17:16:56,2023-08-02 16:45:56,2023-08-02 17:16:56,0.0,ATL_LAX
JB5958,American Airlines,BOS,DFW,2023-03-11 19:11:02,2023-03-11 22:30:02,0 days 03:19:00,On Time,496.72,Boeing 777,B27,1,351.0,59.0,Fog,7.0,Flight,JB5958,2023-03-11 19:11:02,2023-03-11 22:30:02,2023-03-11 19:11:02,2023-03-11 22:30:02,0.0,BOS_DFW
SP3346,JetBlue,ATL,MIA,2023-10-28 23:20:29,2023-10-29 05:10:29,0 days 05:50:00,Cancelled,243.33,Bombardier CRJ900,B20,3,272.0,186.0,Thunderstorm,15.0,Flight,SP3346,2023-10-28 23:20:29,2023-10-29 05:10:29,2023-10-28 23:20:29,2023-10-29 05:10:29,0.0,ATL_MIA
DL7057,JetBlue,ORD,BOS,2023-09-01 19:15:40,2023-09-02 02:47:40,0 days 07:32:00,On Time,574.25,Bombardier CRJ900,B30,1,242.0,235.0,Rain,7.0,Flight,DL7057,2023-09-01 19:15:40,2023-09-02 02:47:40,2023-09-01 19:15:40,2023-09-02 02:47:40,0.0,ORD_BOS
UA1440,Spirit,SFO,MIA,2023-05-09 02:17:52,2023-05-09 08:32:52,0 days 06:15:00,Cancelled,300.4,Embraer 190,A11,2,261.0,246.0,Snow,7.0,Flight,UA1440,2023-05-09 02:17:52,2023-05-09 08:32:52,2023-05-09 02:17:52,2023-05-09 08:32:52,0.0,SFO_MIA
JB999,Delta,ATL,ORD,2023-04-25 16:31:53,2023-04-25 20:02:53,0 days 03:31:00,Delayed,961.9,Bombardier CRJ900,C18,1,265.0,253.0,Thunderstorm,10.0,Flight,JB999,2023-04-25 16:31:53,2023-04-25 20:02:53,2023-04-25 16:31:53,2023-04-25 20:32:53,30.0,ATL_ORD
SW3822,Alaska Airlines,DFW,ORD,2023-10-05 10:40:30,2023-10-05 14:43:30,0 days 04:03:00,On Time,422.79,Embraer 190,C28,International,241.0,132.0,Snow,11.0,Flight,SW3822,2023-10-05 10:40:30,2023-10-05 14:43:30,2023-10-05 10:40:30,2023-10-05 14:43:30,0.0,DFW_ORD
AS1640,Southwest,ORD,JFK,2023-08-20 23:23:21,2023-08-21 04:09:21,0 days 04:46:00,On Time,522.66,Boeing 737,A22,2,142.0,141.0,Cloudy,6.0,Flight,AS1640,2023-08-20 23:23:21,2023-08-21 04:09:21,2023-08-20 23:23:21,2023-08-21 04:09:21,0.0,ORD_JFK
AA8677,Southwest,SFO,DEN,2023-01-31 18:11:52,2023-02-01 02:03:52,0 days 07:52:00,On Time,901.34,Airbus A380,B12,2,190.0,94.0,Clear,12.0,Flight,AA8677,2023-01-31 18:11:52,2023-02-01 02:03:52,2023-01-31 18:11:52,2023-02-01 02:03:52,0.0,SFO_DEN
AA9742,Delta,LAX,SEA,2023-03-13 23:14:46,2023-03-14 02:06:46,0 days 02:52:00,On Time,234.16,Bombardier CRJ900,D24,1,348.0,249.0,Snow,12.0,Flight,AA9742,2023-03-13 23:14:46,2023-03-14 02:06:46,2023-03-13 23:14:46,2023-03-14 02:06:46,0.0,LAX_SEA
UA2853,JetBlue,MIA,LAX,2023-12-18 04:03:00,2023-12-18 12:10:00,0 days 08:07:00,On Time,1220.08,Bombardier CRJ900,B11,International,281.0,198.0,Rain,11.0,Flight,UA2853,2023-12-18 04:03:00,2023-12-18 12:10:00,2023-12-18 04:03:00,2023-12-18 12:10:00,0.0,MIA_LAX
SW4828,Southwest,ORD,LAX,2023-09-14 02:08:12,2023-09-14 03:37:12,0 days 01:29:00,Cancelled,1137.81,Airbus A380,D12,3,375.0,123.0,Fog,13.0,Flight,SW4828,2023-09-14 02:08:12,2023-09-14 03:37:12,2023-09-14 02:08:12,2023-09-14 03:37:12,0.0,ORD_LAX
UA7472,American Airlines,MIA,SFO,2023-11-19 22:02:19,2023-11-20 06:18:19,0 days 08:16:00,Cancelled,1416.82,Airbus A380,A14,3,314.0,212.0,Cloudy,15.0,Flight,UA7472,2023-11-19 22:02:19,2023-11-20 06:18:19,2023-11-19 22:02:19,2023-11-20 06:18:19,0.0,MIA_SFO
SW9876,United,ATL,LAX,2023-12-05 04:23:28,2023-12-05 11:09:28,0 days 06:46:00,Cancelled,573.44,Embraer 190,C11,3,113.0,78.0,Rain,5.0,Flight,SW9876,2023-12-05 04:23:28,2023-12-05 11:09:28,2023-12-05 04:23:28,2023-12-05 11:09:28,0.0,ATL_LAX
JB9389,Alaska Airlines,,LAX,2023-01-09 10:55:58,2023-01-09 12:27:58,0 days 01:32:00,Delayed,535.3,Boeing 737,C14,2,144.0,97.0,Rain,10.0,Flight,JB9389,2023-01-09 10:55:58,2023-01-09 12:27:58,2023-01-09 10:55:58,2023-01-09 12:57:58,30.0,_LAX
AA2700,American Airlines,JFK,LAX,2023-10-27 17:55:08,2023-10-27 21:47:08,0 days 03:52:00,On Time,1116.3,Boeing 777,D4,4,210.0,106.0,Rain,7.0,Flight,AA2700,2023-10-27 17:55:08,2023-10-27 21:47:08,2023-10-27 17:55:08,2023-10-27 21:47:08,0.0,JFK_LAX
SW4020,JetBlue,LAX,SFO,2023-06-16 12:15:30,2023-06-16 15:20:30,0 days 03:05:00,Delayed,1347.95,Airbus A320,B17,3,,100.0,Rain,14.0,Flight,SW4020,2023-06-16 12:15:30,2023-06-16 15:20:30,2023-06-16 12:15:30,2023-06-16 15:50:30,30.0,LAX_SFO
SP3207,American Airlines,DFW,SEA,2023-10-28 19:37:41,2023-10-29 02:28:41,0 days 06:51:00,Cancelled,54.57,Boeing 737,D29,1,123.0,79.0,Snow,15.0,Flight,SP3207,2023-10-28 19:37:41,2023-10-29 02:28:41,2023-10-28 19:37:41,2023-10-29 02:28:41,0.0,DFW_SEA
DL2894,Southwest,SFO,ORD,2023-08-14 11:45:17,2023-08-14 20:59:17,0 days 09:14:00,On Time,283.31,Airbus A380,B17,4,325.0,315.0,Fog,10.0,Flight,DL2894,2023-08-14 11:45:17,2023-08-14 20:59:17,2023-08-14 11:45:17,2023-08-14 20:59:17,0.0,SFO_ORD
JB5129,Alaska Airlines,DFW,SEA,2023-07-04 07:33:35,2023-07-04 17:04:35,0 days 09:31:00,Cancelled,752.49,Airbus A380,C25,International,361.0,121.0,Cloudy,12.0,Flight,JB5129,2023-07-04 07:33:35,2023-07-04 17:04:35,2023-07-04 07:33:35,2023-07-04 17:04:35,0.0,DFW_SEA
SP1468,United,BOS,SEA,2023-10-18 16:44:58,2023-10-18 21:24:58,0 days 04:40:00,Cancelled,482.21,Boeing 737,B17,2,178.0,100.0,Thunderstorm,13.0,Flight,SP1468,2023-10-18 16:44:58,2023-10-18 21:24:58,2023-10-18 16:44:58,2023-10-18 21:24:58,0.0,BOS_SEA
SP8631,Delta,MIA,SEA,2023-04-03 19:02:08,2023-04-03 23:25:08,0 days 04:23:00,Cancelled,953.38,Boeing 737,A22,4,257.0,181.0,Clear,7.0,Flight,SP8631,2023-04-03 19:02:08,2023-04-03 23:25:08,2023-04-03 19:02:08,2023-04-03 23:25:08,0.0,MIA_SEA
SP7861,American Airlines,BOS,MIA,2023-03-04 09:59:01,2023-03-04 10:34:01,0 days 00:35:00,Cancelled,289.3,Boeing 777,C5,4,303.0,259.0,Snow,6.0,Flight,SP7861,2023-03-04 09:59:01,2023-03-04 10:34:01,2023-03-04 09:59:01,2023-03-04 10:34:01,0.0,BOS_MIA
AS3342,American Airlines,ATL,LAX,2023-11-19 22:19:22,2023-11-20 06:24:22,0 days 08:05:00,Cancelled,340.26,Airbus A320,A18,1,249.0,123.0,Rain,10.0,Flight,AS3342,2023-11-19 22:19:22,2023-11-20 06:24:22,2023-11-19 22:19:22,2023-11-20 06:24:22,0.0,ATL_LAX
UA5203,American Airlines,ORD,SEA,2023-01-31 16:28:39,2023-01-31 20:10:39,0 days 03:42:00,Delayed,1355.06,Boeing 737,D28,2,249.0,217.0,Cloudy,10.0,Flight,UA5203,2023-01-31 16:28:39,2023-01-31 20:10:39,2023-01-31 16:28:39,2023-01-31 20:40:39,30.0,ORD_SEA
DL9784,Southwest,DEN,SFO,2023-12-04 15:24:58,2023-12-04 15:56:58,0 days 00:32:00,On Time,514.95,Bombardier CRJ900,D9,2,347.0,346.0,Rain,12.0,Flight,DL9784,2023-12-04 15:24:58,2023-12-04 15:56:58,2023-12-04 15:24:58,2023-12-04 15:56:58,0.0,DEN_SFO
SP4214,Southwest,DFW,MIA,2023-04-10 06:22:53,2023-04-10 12:05:53,0 days 05:43:00,Cancelled,256.12,Airbus A320,C28,1,319.0,229.0,Fog,10.0,Flight,SP4214,2023-04-10 06:22:53,2023-04-10 12:05:53,2023-04-10 06:22:53,2023-04-10 12:05:53,0.0,DFW_MIA
AA9728,Southwest,SEA,DFW,2023-10-06 06:24:39,2023-10-06 12:45:39,0 days 06:21:00,On Time,109.79,Boeing 777,C16,International,394.0,96.0,Thunderstorm,8.0,Flight,AA9728,2023-10-06 06:24:39,2023-10-06 12:45:39,2023-10-06 06:24:39,2023-10-06 12:45:39,0.0,SEA_DFW
AA7380,Alaska Airlines,BOS,JFK,2023-03-08 08:15:36,2023-03-08 16:23:36,0 days 08:08:00,Cancelled,598.62,Embraer 190,B14,2,360.0,316.0,Snow,7.0,Flight,AA7380,2023-03-08 08:15:36,2023-03-08 16:23:36,2023-03-08 08:15:36,2023-03-08 16:23:36,0.0,BOS_JFK
JB7809,Southwest,ATL,DFW,2023-10-05 20:54:45,2023-10-05 21:53:45,0 days 00:59:00,Cancelled,311.52,Embraer 190,D25,3,241.0,159.0,Fog,13.0,Flight,JB7809,2023-10-05 20:54:45,2023-10-05 21:53:45,2023-10-05 20:54:45,2023-10-05 21:53:45,0.0,ATL_DFW
AA4895,Spirit,DFW,SFO,2023-09-26 01:55:44,2023-09-26 02:31:44,0 days 00:36:00,Delayed,132.78,Airbus A380,C23,International,298.0,124.0,Thunderstorm,13.0,Flight,AA4895,2023-09-26 01:55:44,2023-09-26 02:31:44,2023-09-26 01:55:44,2023-09-26 03:01:44,30.0,DFW_SFO
SP2830,Delta,DFW,SFO,2023-01-01 12:13:54,2023-01-01 13:45:54,0 days 01:32:00,On Time,864.69,Bombardier CRJ900,D16,1,231.0,216.0,Clear,9.0,Flight,SP2830,2023-01-01 12:13:54,2023-01-01 13:45:54,2023-01-01 12:13:54,2023-01-01 13:45:54,0.0,DFW_SFO
SP3887,JetBlue,SEA,SFO,2023-02-11 21:19:40,2023-02-12 05:50:40,0 days 08:31:00,On Time,81.65,Airbus A380,C7,4,242.0,132.0,Cloudy,8.0,Flight,SP3887,2023-02-11 21:19:40,2023-02-12 05:50:40,2023-02-11 21:19:40,2023-02-12 05:50:40,0.0,SEA_SFO
JB8595,American Airlines,SEA,ATL,2023-07-12 05:24:47,2023-07-12 11:46:47,0 days 06:22:00,On Time,465.22,Airbus A380,B14,International,299.0,207.0,Thunderstorm,8.0,Flight,JB8595,2023-07-12 05:24:47,2023-07-12 11:46:47,2023-07-12 05:24:47,2023-07-12 11:46:47,0.0,SEA_ATL
AS4479,Delta,ORD,DFW,2023-04-07 08:44:14,2023-04-07 09:25:14,0 days 00:41:00,Cancelled,1177.44,Airbus A380,C27,4,259.0,125.0,Thunderstorm,11.0,Flight,AS4479,2023-04-07 08:44:14,2023-04-07 09:25:14,2023-04-07 08:44:14,2023-04-07 09:25:14,0.0,ORD_DFW
DL1141,Alaska Airlines,LAX,DFW,2023-01-02 19:36:17,2023-01-03 01:06:17,0 days 05:30:00,On Time,341.94,Boeing 737,C30,3,360.0,104.0,Fog,15.0,Flight,DL1141,2023-01-02 19:36:17,2023-01-03 01:06:17,2023-01-02 19:36:17,2023-01-03 01:06:17,0.0,LAX_DFW
JB3452,United,DFW,SFO,2023-12-23 14:03:55,2023-12-23 20:45:55,0 days 06:42:00,On Time,154.45,Boeing 777,C2,International,282.0,175.0,Fog,12.0,Flight,JB3452,2023-12-23 14:03:55,2023-12-23 20:45:55,2023-12-23 14:03:55,2023-12-23 20:45:55,0.0,DFW_SFO
SP6918,JetBlue,DFW,JFK,2023-06-10 02:17:00,2023-06-10 11:29:00,0 days 09:12:00,Cancelled,189.03,Airbus A320,B13,3,230.0,219.0,Rain,6.0,Flight,SP6918,2023-06-10 02:17:00,2023-06-10 11:29:00,2023-06-10 02:17:00,2023-06-10 11:29:00,0.0,DFW_JFK
JB6352,Southwest,SEA,JFK,2023-02-20 02:09:50,2023-02-20 12:01:50,0 days 09:52:00,On Time,640.78,Boeing 777,A12,4,156.0,152.0,Snow,11.0,Flight,JB6352,2023-02-20 02:09:50,2023-02-20 12:01:50,2023-02-20 02:09:50,2023-02-20 12:01:50,0.0,SEA_JFK
