YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,NK,298,N514NK,LAS,IAH,01-01-2015 01:44,02-01-2015 01:40,-4,10,01-01-2015 01:50,170,170,148,1222,01-01-2015 06:18,12,01-01-2015 06:34,01-01-2015 06:30,-4,0,0,,,,,,
2015,1,1,4,HA,17,N389HA,LAS,HNL,01-01-2015 01:45,01-01-2015 01:45,0,16,01-01-2015 02:01,370,385,361,2762,01-01-2015 06:02,8,01-01-2015 05:55,01-01-2015 06:10,15,0,0,,0,0,15,0,0
2015,1,1,4,US,617,N804AW,ANC,PHX,01-01-2015 01:52,02-01-2015 01:43,-9,21,01-01-2015 02:04,323,322,298,2552,01-01-2015 09:02,3,01-01-2015 09:15,01-01-2015 09:05,-10,0,0,,,,,,
2015,1,1,4,UA,1528,N76519,SJU,EWR,01-01-2015 01:54,01-01-2015 01:57,3,12,01-01-2015 02:09,255,241,220,1608,01-01-2015 04:49,9,01-01-2015 05:09,01-01-2015 04:58,-11,0,0,,,,,,
2015,1,1,4,AS,134,N464AS,ANC,SEA,01-01-2015 01:55,02-01-2015 01:40,-15,17,01-01-2015 01:57,218,198,170,1448,01-01-2015 05:47,11,01-01-2015 06:33,01-01-2015 05:58,-35,0,0,,,,,,
2015,1,1,4,B6,304,N607JB,SJU,JFK,01-01-2015 01:55,02-01-2015 01:53,-2,12,01-01-2015 02:05,235,248,231,1598,01-01-2015 04:56,5,01-01-2015 04:50,01-01-2015 05:01,11,0,0,,,,,,
2015,1,1,4,NK,451,N633NK,PBG,FLL,01-01-2015 01:55,02-01-2015 01:39,-16,10,02-01-2015 01:49,208,191,174,1334,01-01-2015 04:43,7,01-01-2015 05:23,01-01-2015 04:50,-33,0,0,,,,,,
2015,1,1,4,NK,972,N606NK,PHX,DFW,01-01-2015 01:59,02-01-2015 01:58,-1,11,01-01-2015 02:09,123,125,103,868,01-01-2015 04:52,11,01-01-2015 05:02,01-01-2015 05:03,1,0,0,,,,,,
2015,1,1,4,AA,2459,N3BDAA,PHX,DFW,01-01-2015 02:00,,,,,120,,,868,,,01-01-2015 05:00,,,0,1,B,,,,,
2015,1,1,4,AS,144,N514AS,ANC,PDX,01-01-2015 02:00,02-01-2015 01:50,-10,24,01-01-2015 02:14,210,209,182,1542,01-01-2015 06:16,3,01-01-2015 06:30,01-01-2015 06:19,-11,0,0,,,,,,
2015,1,1,4,NK,647,N630NK,IAG,FLL,01-01-2015 02:00,02-01-2015 01:55,-5,21,01-01-2015 02:16,184,178,149,1176,01-01-2015 04:45,8,01-01-2015 05:04,01-01-2015 04:53,-11,0,0,,,,,,
2015,1,1,4,B6,1990,N597JB,SJU,EWR,01-01-2015 02:06,02-01-2015 01:52,-14,19,01-01-2015 02:11,246,264,239,1608,01-01-2015 05:10,6,01-01-2015 05:12,01-01-2015 05:16,4,0,0,,,,,,
2015,1,1,4,US,699,N172US,PHX,CLT,01-01-2015 02:20,02-01-2015 02:09,-11,10,02-01-2015 02:19,224,199,183,1773,01-01-2015 07:22,6,01-01-2015 08:04,01-01-2015 07:28,-36,0,0,,,,,,
2015,1,1,4,AS,114,N303AS,ANC,SEA,01-01-2015 02:20,02-01-2015 02:09,-11,15,01-01-2015 02:24,200,199,176,1448,01-01-2015 06:20,8,01-01-2015 06:40,01-01-2015 06:28,-12,0,0,,,,,,
2015,1,1,4,B6,668,N653JB,PSE,MCO,01-01-2015 02:55,02-01-2015 02:48,-7,10,01-01-2015 02:58,185,183,169,1179,01-01-2015 04:47,4,01-01-2015 05:00,01-01-2015 04:51,-9,0,0,,,,,,
2015,1,1,4,UA,1162,N37293,BQN,EWR,01-01-2015 02:59,02-01-2015 02:58,-1,14,01-01-2015 03:12,240,247,225,1585,01-01-2015 05:57,8,01-01-2015 05:59,01-01-2015 06:05,6,0,0,,,,,,
2015,1,1,4,B6,1030,N239JB,BQN,MCO,01-01-2015 03:07,02-01-2015 03:04,-3,25,01-01-2015 03:29,173,196,160,1129,01-01-2015 05:09,11,01-01-2015 05:00,01-01-2015 05:20,20,0,0,,20,0,0,0,0
2015,1,1,4,B6,262,N627JB,SJU,BOS,01-01-2015 03:30,02-01-2015 03:16,-14,14,01-01-2015 03:30,245,243,224,1674,01-01-2015 06:14,5,01-01-2015 06:35,01-01-2015 06:19,-16,0,0,,,,,,
2015,1,1,4,B6,2134,N307JB,SJU,MCO,01-01-2015 04:00,01-01-2015 05:35,95,9,01-01-2015 05:44,185,175,163,1189,01-01-2015 07:27,3,01-01-2015 06:05,01-01-2015 07:30,85,0,0,,0,0,85,0,0
2015,1,1,4,B6,730,N621JB,BQN,MCO,01-01-2015 04:19,01-01-2015 04:23,4,11,01-01-2015 04:34,174,163,148,1129,01-01-2015 06:02,4,01-01-2015 06:13,01-01-2015 06:06,-7,0,0,,,,,,
2015,1,1,4,B6,768,N317JB,PSE,MCO,01-01-2015 04:24,02-01-2015 04:13,-11,24,01-01-2015 04:37,186,196,166,1179,01-01-2015 06:23,6,01-01-2015 06:30,01-01-2015 06:29,-1,0,0,,,,,,
2015,1,1,4,B6,2276,N646JB,SJU,BDL,01-01-2015 04:38,01-01-2015 05:50,72,15,01-01-2015 06:05,241,258,237,1666,01-01-2015 09:02,6,01-01-2015 07:39,01-01-2015 09:08,89,0,0,,17,0,72,0,0
2015,1,1,4,US,602,N197UW,ORD,PHX,01-01-2015 05:00,02-01-2015 04:59,-1,12,01-01-2015 05:11,228,232,214,1440,01-01-2015 07:45,6,01-01-2015 07:48,01-01-2015 07:51,3,0,0,,,,,,
2015,1,1,4,AS,695,N607AS,GEG,SEA,01-01-2015 05:00,02-01-2015 04:56,-4,22,01-01-2015 05:18,70,74,39,224,01-01-2015 05:57,13,01-01-2015 06:10,01-01-2015 06:10,0,0,0,,,,,,
2015,1,1,4,HA,102,N492HA,HNL,ITO,01-01-2015 05:00,02-01-2015 04:52,-8,10,01-01-2015 05:02,49,51,35,216,01-01-2015 05:37,6,01-01-2015 05:49,01-01-2015 05:43,-6,0,0,,,,,,
2015,1,1,4,OO,5467,N701BR,ONT,SFO,01-01-2015 05:00,01-01-2015 05:13,13,19,01-01-2015 05:32,89,85,61,363,01-01-2015 06:33,5,01-01-2015 06:29,01-01-2015 06:38,9,0,0,,,,,,
2015,1,1,4,HA,108,N476HA,HNL,KOA,01-01-2015 05:02,02-01-2015 05:01,-1,12,01-01-2015 05:13,42,48,30,163,01-01-2015 05:43,6,01-01-2015 05:44,01-01-2015 05:49,5,0,0,,,,,,
2015,1,1,4,AS,730,N423AS,ANC,SEA,01-01-2015 05:05,02-01-2015 04:57,-8,16,01-01-2015 05:13,205,199,179,1448,01-01-2015 09:12,4,01-01-2015 09:30,01-01-2015 09:16,-14,0,0,,,,,,
2015,1,1,4,HA,206,N484HA,HNL,OGG,01-01-2015 05:05,02-01-2015 04:54,-11,10,02-01-2015 05:04,36,36,20,100,01-01-2015 05:24,6,01-01-2015 05:41,01-01-2015 05:30,-11,0,0,,,,,,
2015,1,1,4,UA,1500,N30401,ORD,IAH,01-01-2015 05:10,01-01-2015 05:14,4,23,01-01-2015 05:37,175,182,147,925,01-01-2015 08:04,12,01-01-2015 08:05,01-01-2015 08:16,11,0,0,,,,,,
2015,1,1,4,AA,1323,N3CXAA,MCO,MIA,01-01-2015 05:10,02-01-2015 05:07,-3,14,01-01-2015 05:21,63,55,38,192,01-01-2015 05:59,3,01-01-2015 06:13,01-01-2015 06:02,-11,0,0,,,,,,
2015,1,1,4,NK,103,N616NK,BOS,MYR,01-01-2015 05:10,02-01-2015 05:06,-4,16,01-01-2015 05:22,140,134,112,738,01-01-2015 07:14,6,01-01-2015 07:30,01-01-2015 07:20,-10,0,0,,,,,,
2015,1,1,4,OO,7404,N8982A,HIB,MSP,01-01-2015 05:10,02-01-2015 05:00,-10,37,01-01-2015 05:37,68,78,35,174,01-01-2015 06:12,6,01-01-2015 06:18,01-01-2015 06:18,0,0,0,,,,,,
2015,1,1,4,OO,7419,N445SW,ABR,MSP,01-01-2015 05:10,02-01-2015 05:08,-2,21,01-01-2015 05:29,69,67,41,257,01-01-2015 06:10,5,01-01-2015 06:19,01-01-2015 06:15,-4,0,0,,,,,,
2015,1,1,4,OO,5254,N746SK,MAF,IAH,01-01-2015 05:10,,,,,87,,,429,,,01-01-2015 06:37,,,0,1,B,,,,,
2015,1,1,4,US,480,N676AW,SEA,PHX,01-01-2015 05:15,02-01-2015 05:10,-5,15,01-01-2015 05:25,165,168,146,1107,01-01-2015 08:51,7,01-01-2015 09:00,01-01-2015 08:58,-2,0,0,,,,,,
2015,1,1,4,AA,1057,N3ASAA,DFW,MIA,01-01-2015 05:15,01-01-2015 07:03,108,15,01-01-2015 07:18,161,155,133,1121,01-01-2015 10:31,7,01-01-2015 08:56,01-01-2015 10:38,102,0,0,,0,0,0,0,102
2015,1,1,4,AA,2454,N3ETAA,BOS,MIA,01-01-2015 05:15,02-01-2015 05:10,-5,14,01-01-2015 05:24,208,215,182,1258,01-01-2015 08:26,19,01-01-2015 08:43,01-01-2015 08:45,2,0,0,,,,,,
2015,1,1,4,EV,4354,N12142,MKE,IAH,01-01-2015 05:15,01-01-2015 05:17,2,12,01-01-2015 05:29,178,189,163,984,01-01-2015 08:12,14,01-01-2015 08:13,01-01-2015 08:26,13,0,0,,,,,,
2015,1,1,4,US,425,N174US,PDX,PHX,01-01-2015 05:20,01-01-2015 06:20,60,13,01-01-2015 06:33,150,150,132,1009,01-01-2015 09:45,5,01-01-2015 08:50,01-01-2015 09:50,60,0,0,,0,0,60,0,0
2015,1,1,4,AA,89,N3KVAA,IAH,MIA,01-01-2015 05:20,01-01-2015 06:18,58,19,01-01-2015 06:37,141,137,111,964,01-01-2015 09:28,7,01-01-2015 08:41,01-01-2015 09:35,54,0,0,,0,0,54,0,0
2015,1,1,4,DL,2099,N355NW,BNA,DTW,01-01-2015 05:20,02-01-2015 05:11,-9,30,01-01-2015 05:41,103,106,66,456,01-01-2015 07:47,10,01-01-2015 08:03,01-01-2015 07:57,-6,0,0,,,,,,
2015,1,1,4,EV,4685,N26545,BRO,IAH,01-01-2015 05:20,02-01-2015 05:17,-3,15,01-01-2015 05:32,74,72,49,308,01-01-2015 06:21,8,01-01-2015 06:34,01-01-2015 06:29,-5,0,0,,,,,,
2015,1,1,4,EV,5583,N882AS,VPS,ATL,01-01-2015 05:20,02-01-2015 05:14,-6,9,01-01-2015 05:23,66,57,42,250,01-01-2015 07:05,6,01-01-2015 07:26,01-01-2015 07:11,-15,0,0,,,,,,
2015,1,1,4,OO,5484,N824AS,BOI,SFO,01-01-2015 05:20,01-01-2015 05:25,5,24,01-01-2015 05:49,112,110,79,522,01-01-2015 06:08,7,01-01-2015 06:12,01-01-2015 06:15,3,0,0,,,,,,
2015,1,1,4,OO,7370,N432SW,BJI,MSP,01-01-2015 05:20,02-01-2015 05:17,-3,31,01-01-2015 05:48,60,72,34,199,01-01-2015 06:22,7,01-01-2015 06:20,01-01-2015 06:29,9,0,0,,,,,,
2015,1,1,4,HA,103,N477HA,HNL,LIH,01-01-2015 05:23,02-01-2015 05:13,-10,7,02-01-2015 05:20,37,35,21,102,01-01-2015 05:41,7,01-01-2015 06:00,01-01-2015 05:48,-12,0,0,,,,,,
2015,1,1,4,EV,5187,N720EV,BNA,ATL,01-01-2015 05:25,01-01-2015 05:25,0,32,01-01-2015 05:57,65,70,35,214,01-01-2015 07:32,3,01-01-2015 07:30,01-01-2015 07:35,5,0,0,,,,,,
2015,1,1,4,MQ,2859,N660MQ,SGF,DFW,01-01-2015 05:25,,,,,95,,,364,,,01-01-2015 07:00,,,0,1,B,,,,,
2015,1,1,4,UA,1201,N79521,PHL,IAH,01-01-2015 05:30,01-01-2015 05:32,2,12,01-01-2015 05:44,230,234,210,1325,01-01-2015 08:14,12,01-01-2015 08:20,01-01-2015 08:26,6,0,0,,,,,,
2015,1,1,4,UA,1221,N37281,PDX,DEN,01-01-2015 05:30,01-01-2015 05:34,4,9,01-01-2015 05:43,142,142,125,991,01-01-2015 08:48,8,01-01-2015 08:52,01-01-2015 08:56,4,0,0,,,,,,
2015,1,1,4,UA,1607,N36476,SEA,DEN,01-01-2015 05:30,02-01-2015 05:29,-1,10,01-01-2015 05:39,157,157,138,1024,01-01-2015 08:57,9,01-01-2015 09:07,01-01-2015 09:06,-1,0,0,,,,,,
2015,1,1,4,AA,328,N4XKAA,DEN,DFW,01-01-2015 05:30,01-01-2015 06:23,53,32,01-01-2015 06:55,125,138,96,641,01-01-2015 09:31,10,01-01-2015 08:35,01-01-2015 09:41,66,0,0,,13,0,53,0,0
2015,1,1,4,EV,5764,N832AS,SBN,ORD,01-01-2015 05:30,02-01-2015 05:27,-3,12,01-01-2015 05:39,55,44,22,84,02-01-2015 05:01,10,02-01-2015 05:25,02-01-2015 05:11,-14,0,0,,,,,,
2015,1,1,4,F9,1279,N918FR,PHL,MCO,01-01-2015 05:30,02-01-2015 05:26,-4,12,01-01-2015 05:38,160,146,128,861,01-01-2015 07:46,6,01-01-2015 08:10,01-01-2015 07:52,-18,0,0,,,,,,
2015,1,1,4,NK,409,N509NK,ORD,FLL,01-01-2015 05:30,02-01-2015 05:26,-4,12,01-01-2015 05:38,188,167,149,1182,01-01-2015 09:07,6,01-01-2015 09:38,01-01-2015 09:13,-25,0,0,,,,,,
2015,1,1,4,OO,5460,N583SW,RDD,SFO,01-01-2015 05:30,,,,,90,,,199,,,01-01-2015 07:00,,,0,1,A,,,,,
2015,1,1,4,OO,6391,N593ML,EUG,DEN,01-01-2015 05:30,02-01-2015 05:26,-4,26,01-01-2015 05:52,163,180,143,996,01-01-2015 09:15,11,01-01-2015 09:13,01-01-2015 09:26,13,0,0,,,,,,
2015,1,1,4,UA,1532,N77066,SFO,DEN,01-01-2015 05:31,01-01-2015 05:50,19,15,01-01-2015 06:05,146,153,127,967,01-01-2015 09:12,11,01-01-2015 08:57,01-01-2015 09:23,26,0,0,,7,0,19,0,0
2015,1,1,4,UA,1167,N66837,ORD,DEN,01-01-2015 05:33,01-01-2015 05:40,7,10,01-01-2015 05:50,167,163,142,888,01-01-2015 07:12,11,01-01-2015 07:20,01-01-2015 07:23,3,0,0,,,,,,
2015,1,1,4,UA,1012,N17245,IAD,IAH,01-01-2015 05:35,01-01-2015 05:41,6,12,01-01-2015 05:53,207,215,194,1190,01-01-2015 08:07,9,01-01-2015 08:02,01-01-2015 08:16,14,0,0,,,,,,
2015,1,1,4,B6,2001,N358JB,BUF,JFK,01-01-2015 05:35,02-01-2015 05:30,-5,17,01-01-2015 05:47,88,78,56,301,01-01-2015 06:43,5,01-01-2015 07:03,01-01-2015 06:48,-15,0,0,,,,,,
2015,1,1,4,B6,2807,N190JB,PWM,JFK,01-01-2015 05:35,02-01-2015 05:28,-7,13,01-01-2015 05:41,85,67,50,273,01-01-2015 06:31,4,01-01-2015 07:00,01-01-2015 06:35,-25,0,0,,,,,,
2015,1,1,4,B6,2023,N324JB,JFK,SJU,01-01-2015 05:35,01-01-2015 06:18,43,13,01-01-2015 06:31,225,201,184,1598,01-01-2015 10:35,4,01-01-2015 10:20,01-01-2015 10:39,19,0,0,,0,0,19,0,0
2015,1,1,4,EV,4557,N12967,CRP,IAH,01-01-2015 05:35,02-01-2015 05:23,-12,12,01-01-2015 05:35,61,52,33,201,01-01-2015 06:08,7,01-01-2015 06:36,01-01-2015 06:15,-21,0,0,,,,,,
2015,1,1,4,EV,5241,N849AS,PIA,DTW,01-01-2015 05:35,02-01-2015 05:30,-5,18,01-01-2015 05:48,88,75,54,346,01-01-2015 07:42,3,01-01-2015 08:03,01-01-2015 07:45,-18,0,0,,,,,,
2015,1,1,4,EV,5498,N132EV,ORD,DTW,01-01-2015 05:35,01-01-2015 05:50,15,18,01-01-2015 06:08,85,67,41,235,01-01-2015 07:49,8,01-01-2015 08:00,01-01-2015 07:57,-3,0,0,,,,,,
2015,1,1,4,OO,6512,N925SW,FAT,LAX,01-01-2015 05:35,02-01-2015 05:30,-5,33,01-01-2015 06:03,75,80,42,209,01-01-2015 06:45,5,01-01-2015 06:50,01-01-2015 06:50,0,0,0,,,,,,
2015,1,1,4,UA,1577,N69813,SMF,DEN,01-01-2015 05:38,01-01-2015 06:34,56,26,01-01-2015 07:00,142,164,129,909,01-01-2015 10:09,9,01-01-2015 09:00,01-01-2015 10:18,78,0,0,,22,0,56,0,0
2015,1,1,4,OO,4986,N719SK,AUS,LAX,01-01-2015 05:38,02-01-2015 05:35,-3,16,01-01-2015 05:51,212,199,173,1242,01-01-2015 06:44,10,01-01-2015 07:10,01-01-2015 06:54,-16,0,0,,,,,,
2015,1,1,4,B6,727,N292JB,BOS,BWI,01-01-2015 05:40,02-01-2015 05:36,-4,14,01-01-2015 05:50,101,84,66,369,01-01-2015 06:56,4,01-01-2015 07:21,01-01-2015 07:00,-21,0,0,,,,,,
2015,1,1,4,B6,1012,N375JB,ORD,BOS,01-01-2015 05:40,02-01-2015 05:29,-11,16,01-01-2015 05:45,136,114,95,867,01-01-2015 08:20,3,01-01-2015 08:56,01-01-2015 08:23,-33,0,0,,,,,,
2015,1,1,4,DL,824,N3736C,PHX,DTW,01-01-2015 05:40,01-01-2015 08:08,148,19,01-01-2015 08:27,223,203,178,1671,01-01-2015 13:25,6,01-01-2015 11:23,01-01-2015 13:31,128,0,0,,0,0,0,0,128
2015,1,1,4,DL,941,N910DN,MCI,ATL,01-01-2015 05:40,01-01-2015 05:46,6,11,01-01-2015 05:57,122,101,84,692,01-01-2015 08:21,6,01-01-2015 08:42,01-01-2015 08:27,-15,0,0,,,,,,
2015,1,1,4,DL,2079,N389DA,BOS,DTW,01-01-2015 05:40,02-01-2015 05:37,-3,15,01-01-2015 05:52,143,125,105,632,01-01-2015 07:37,5,01-01-2015 08:03,01-01-2015 07:42,-21,0,0,,,,,,
2015,1,1,4,EV,3268,N14998,ATL,IAD,01-01-2015 05:40,01-01-2015 05:56,16,9,01-01-2015 06:05,105,103,79,534,01-01-2015 07:24,15,01-01-2015 07:25,01-01-2015 07:39,14,0,0,,,,,,
2015,1,1,4,EV,4160,N11150,JAX,EWR,01-01-2015 05:40,02-01-2015 05:31,-9,9,01-01-2015 05:40,137,132,109,820,01-01-2015 07:29,14,01-01-2015 07:57,01-01-2015 07:43,-14,0,0,,,,,,
